"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"	"Annotation"
"AtMYB93..MYB93"	3.863841	3.356761	4.129728	3.583345	2.207861	3.208468	2.724738	4.195913	4.804282	6.901568	7.394833	3.940745	3.872279	3.005775	7.740561	9.649823	11.234355	10.631763	8.729824	6.966888	7.659045	6.154938	6.675474	8.802788	7.859805	5.098976	4.815942	4.223438	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"GF14..GRF11..RHS5"	9.014845	8.031361	5.701031	6.949065	7.830965	6.842802	6.533642	8.267591	7.517655	7.372077	8.664074	8.874449	7.807784	7.445627	7.696663	6.671975	3.414454	6.373145	6.918494	6.95531	5.585747	9.697298	8.542948	6.996881	7.878118	10.02346	9.305576	7.917056	"Encodes a 14-3-3 protein. Binds H+-ATPase in response to blue light., Encodes a 14-3-3 protein. Binds H+-ATPase in response to blue light., Encodes a 14-3-3 protein. Binds H+-ATPase in response to blue light."
"LACS2..LRD2"	2.851638	3.300856	3.759388	2.971152	3.955642	1.799401	3.405743	1.983428	4.317766	4.846518	6.699713	3.285979	3.300444	2.739746	4.038006	3.970665	6.757953	8.924407	8.24145	4.874385	5.328118	2.426016	3.704758	3.534984	6.387973	4.226301	2.305126	2.123187	"Encodes a long chain acyl-CoA synthetase that catalyzes the synthesis of omega-hydroxy fatty acyl-CoA intermediates in the pathway to cutin synthesis. Required for repression of lateral root formation., Encodes a long chain acyl-CoA synthetase that catalyzes the synthesis of omega-hydroxy fatty acyl-CoA intermediates in the pathway to cutin synthesis. Required for repression of lateral root formation."
"CYP96A8"	7.070079	6.643315	6.919773	7.237018	6.465458	7.228574	6.711016	4.946669	4.064192	5.524584	5.006092	5.905513	5.650517	4.418057	3.983221	4.079425	4.004793	3.898534	4.013052	4.501973	3.70692	5.209875	3.436527	4.305847	2.90361	3.770976	4.071968	2.63554	"member of CYP96A"
"ATSRG1..SRG1"	7.249455	8.010393	8.519468	7.381459	6.686539	2.966998	6.457789	6.472182	7.967547	9.503545	9.668965	7.773142	6.8475	8.110801	5.065061	6.437923	9.228395	8.759633	7.101424	6.968028	7.623111	7.114499	8.095517	9.631325	9.37159	7.381333	6.978794	7.213854	"Encodes a novel member of the Fe(II)/ascorbate oxidase gene family; senescence-related gene., Encodes a novel member of the Fe(II)/ascorbate oxidase gene family; senescence-related gene."
"SECA2"	3.434364	4.516617	4.121321	3.193684	4.542566	5.237463	5.43512	2.304997	4.410264	4.771664	4.735199	5.054867	4.83656	4.162292	4.377438	3.187448	1.919945	4.12476	5.172202	4.313137	4.799293	3.328945	4.212929	4.988519	4.368704	3.406791	4.535185	5.011346	"Encodes a component of the thylakoid-localized Sec system involved in the translocation of cytoplasmic proteins into plastid.  Loss-of-function mutations result in arrest at the globular stage and embryo lethality."
"AHA10"	4.394877	4.373669	4.937412	5.102823	2.711417	4.685938	4.557269	4.79984	4.969371	3.767748	2.675363	5.081621	5.042848	4.025433	4.558153	5.02743	5.12304	3.287675	2.476482	3.105946	4.833091	5.292584	3.576133	3.840413	3.636617	4.640666	4.841826	4.807917	"belongs to H+-APTase gene family,  involved in proanthocyanidin biosynthesis,  disturbs the vacuolar biogenesis and acidification process"
"AtRLP2..RLP2"	3.460762	3.06713	4.325261	3.7996	5.348616	5.177156	4.489079	4.389876	4.420131	4.550928	2.541943	4.932034	4.844647	4.186479	3.616312	4.388934	3.98086	4.238042	4.407039	3.944716	2.494114	5.724083	4.80825	2.358714	4.10805	4.89169	4.589807	4.111983	"Encodes a CLAVATA2 (CLV2)-related gene. Complements the clv2 mutant when expressed under the control of the CLV2 promoter., Encodes a CLAVATA2 (CLV2)-related gene. Complements the clv2 mutant when expressed under the control of the CLV2 promoter."
"EPF2"	3.190232	4.693073	4.653276	4.942207	5.100723	5.446928	5.694906	3.825662	5.169715	5.190517	4.563793	5.052135	5.219412	5.039175	3.419214	4.882362	2.875785	5.309183	2.990108	5.292163	5.178079	3.839656	4.117274	4.274065	4.785326	4.548178	4.65555	2.78519	"Encodes a secretory peptide EPF2 expressed in proliferating cells of the stomatal lineage, known as meristemoids, and in guard mother cells, the progenitors of stomata.  Controls asymmetric cell divisions during stomatal development.  EPF2 is related to EPF1, also involved in stomatal development."
"PSAF"	5.734521	5.573343	5.04981	4.773988	5.550237	5.644436	5.864763	10.501813	10.652753	10.284739	10.342665	9.948123	9.56131	10.098103	9.299974	7.972082	7.761474	9.391852	9.068556	8.449755	8.925737	9.08802	9.146412	8.715421	9.254601	8.74561	9.111626	9.500531	"Encodes subunit F of photosystem I."
"ATSERK2..SERK2"	3.566509	5.120406	6.097511	5.985905	6.177791	6.82819	6.340826	3.009289	4.656743	4.687262	5.401188	6.004204	6.342387	5.388889	4.23977	2.486947	3.229073	5.626367	6.569005	6.057474	5.646527	4.767129	5.435154	4.891861	4.900005	5.585613	5.762677	6.268958	"Plasma membrane LRR receptor-like serine threonine kinase expressed during embryogenesis in locules until stage 6 anthers, with higher expression in the tapetal cell layer. SERK1 and SERK2 receptor kinases function redundantly as an important control point for sporophytic development  controlling male gametophyte production., Plasma membrane LRR receptor-like serine threonine kinase expressed during embryogenesis in locules until stage 6 anthers, with higher expression in the tapetal cell layer. SERK1 and SERK2 receptor kinases function redundantly as an important control point for sporophytic development  controlling male gametophyte production."
"ATBOR4..BOR4"	4.469686	6.191108	4.861242	3.707585	5.030898	5.615356	5.449611	6.964629	8.116686	6.737881	7.115409	6.770755	7.397804	7.212142	4.914139	6.674981	5.051158	3.817963	4.338746	4.790758	3.062271	6.230741	6.912117	5.334754	5.862738	5.812608	6.082061	5.431023	"Encodes a efflux-type boron transporter. Over-expression improved plant growth under B toxic conditions., Encodes a efflux-type boron transporter. Over-expression improved plant growth under B toxic conditions."
"PnsL2..PQL1..PQL2"	3.870061	4.486571	4.666839	3.893018	4.959741	4.951412	2.925606	5.331336	5.876241	5.594004	5.762967	4.905341	4.682867	4.416787	3.398589	5.471602	4.788778	4.076443	4.909284	3.734332	3.729195	3.582019	4.596042	2.795703	4.737487	3.94529	4.609393	4.781972	"Encodes a subunit of the NAD(P)H dehydrogenase complex located in the chloroplast thylakoid lumen., Encodes a subunit of the NAD(P)H dehydrogenase complex located in the chloroplast thylakoid lumen., Encodes a subunit of the NAD(P)H dehydrogenase complex located in the chloroplast thylakoid lumen."
"ACD31.2..ACD32.1"	5.476009	5.053239	5.94393	6.513371	6.305997	6.422487	6.288498	4.628262	5.587941	6.557915	6.798168	6.085129	6.711157	6.412492	4.764859	3.782069	5.822903	5.95397	4.912149	5.368657	5.906756	2.62444	5.351954	5.425337	6.197055	5.664384	6.031378	6.46591	"ACD32.1 encodes an alpha-crystallin domain  containing protein with homology to small heat shock proteins., ACD32.1 encodes an alpha-crystallin domain  containing protein with homology to small heat shock proteins."
"ATGPAT1..GPAT1..sn.2.GPAT1"	5.171044	3.706419	4.991839	5.010709	4.462398	4.909411	3.351542	5.393259	5.123183	6.056694	5.360354	4.956839	5.040263	5.82783	5.832102	6.128971	7.264205	7.26134	5.750326	5.546997	6.181805	5.428186	5.587726	5.640303	7.015979	5.487396	5.805283	6.692475	"Encodes a membrane associated mitochondrial localized protein with  glycerol-3-phosphate acyltransferase activity.Expressed in flower buds and siliques. Homozygous mutant plants are male sterile and have abnormal glycerolipid levels., Encodes a membrane associated mitochondrial localized protein with  glycerol-3-phosphate acyltransferase activity.Expressed in flower buds and siliques. Homozygous mutant plants are male sterile and have abnormal glycerolipid levels., Encodes a membrane associated mitochondrial localized protein with  glycerol-3-phosphate acyltransferase activity.Expressed in flower buds and siliques. Homozygous mutant plants are male sterile and have abnormal glycerolipid levels."
"OE23..OEE2..PSBP.1..PSII.P"	5.956973	5.981518	5.468232	5.637103	5.466097	6.093899	6.560236	9.367259	9.570516	9.438806	9.599474	9.474921	9.101549	9.694854	8.594041	6.961154	7.343652	9.146592	9.288213	8.682204	8.756038	8.664419	8.952467	8.365519	9.263813	8.689864	9.116416	9.718816	"Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution., Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution., Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution., Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution."
"FUT7"	6.08222	4.743118	4.299343	4.390439	4.471963	4.907176	4.205078	6.901414	6.354595	6.324411	6.531249	6.196452	6.215483	5.818031	5.536372	2.940624	3.328632	5.18773	5.120217	3.659809	2.566881	7.826426	6.35311	6.53019	6.203238	5.845716	5.683235	6.091643	"member of Xyloglucan fucosyltransferase family"
"ATFUT6..FUT6"	11.255115	11.394403	11.903335	12.127775	10.982736	11.086531	10.665434	10.357454	9.136699	10.068115	9.671115	9.62376	9.19374	8.88208	9.320551	7.240813	7.808915	7.99259	7.569227	7.379077	6.761463	9.040644	8.712555	7.432797	9.154934	9.495127	8.313216	8.149654	"member of Xyloglucan fucosyltransferase family, member of Xyloglucan fucosyltransferase family"
"CPK29"	3.948044	2.323192	3.16002	3.441472	2.899797	2.499737	2.903536	7.146754	7.065447	7.336677	8.701385	8.694781	8.072049	8.471978	6.549998	6.069795	7.563323	7.742646	7.94152	8.192441	8.330697	6.182869	7.828242	8.830967	8.7347	7.543089	7.915596	8.228126	"member of Calcium Dependent Protein Kinase"
"ANAC026..VND5"	3.247716	4.605929	1.703855	2.034432	3.379495	1.438999	3.266395	4.831719	4.989188	5.201055	5.089351	3.914242	3.648075	4.722779	5.503447	4.346663	4.556695	3.833895	2.630378	4.727223	3.062073	5.647937	6.782052	7.0503	7.620556	6.308129	7.058997	7.028089	"Encodes a NAC-domain transcription factor. Expressed in the vascular tissue., Encodes a NAC-domain transcription factor. Expressed in the vascular tissue."
"ATCLV1..CLV1..FAS3..FLO5"	3.158202	2.809448	2.05825	2.626538	2.264315	3.298464	4.623997	6.863428	6.131696	5.623197	4.279766	4.494465	4.214916	5.208823	7.99329	7.172755	6.035361	5.491778	5.168121	4.427392	3.756929	5.257943	7.912502	6.002773	6.195807	5.13045	5.26081	5.780334	"Putative receptor kinase with an extracellular leucine-rich domain. Controls shoot and floral meristem size, and contributes to establish and maintain floral meristem identity. Negatively regulated by KAPP (kinase-associated protein phosphatase). CLV3 peptide binds directly CLV1 ectodomain., Putative receptor kinase with an extracellular leucine-rich domain. Controls shoot and floral meristem size, and contributes to establish and maintain floral meristem identity. Negatively regulated by KAPP (kinase-associated protein phosphatase). CLV3 peptide binds directly CLV1 ectodomain., Putative receptor kinase with an extracellular leucine-rich domain. Controls shoot and floral meristem size, and contributes to establish and maintain floral meristem identity. Negatively regulated by KAPP (kinase-associated protein phosphatase). CLV3 peptide binds directly CLV1 ectodomain., Putative receptor kinase with an extracellular leucine-rich domain. Controls shoot and floral meristem size, and contributes to establish and maintain floral meristem identity. Negatively regulated by KAPP (kinase-associated protein phosphatase). CLV3 peptide binds directly CLV1 ectodomain."
"ATMC8..AtMCP2e..MC8..MCP2e"	5.1773931	2.9838664	1.7568972	0.7480477	3.43042	1.906769	1.8420391	5.5096023	3.3918705	4.2592411	2.6406779	4.2685845	1.3736811	1.7606297	4.9748791	3.5306443	1.5739495	4.152557	4.4013939	4.7162786	3.6780382	7.0628163	2.6753377	2.9925708	1.7326362	4.631129	3.644157	1.8294765	"Encodes a metacaspase (cysteine-type endopeptidase) that is involved in promoting programmed cell death in response to hydrogen peroxide (H2O2), UV light, and methyl viologen (MV). Transcript levels rise in response to UV-C, H2O2, and MV. In vitro assays demonstrate that this enzyme has a preference for cleaving after an arginine residue, and it has a pH optimum of 8.0., Encodes a metacaspase (cysteine-type endopeptidase) that is involved in promoting programmed cell death in response to hydrogen peroxide (H2O2), UV light, and methyl viologen (MV). Transcript levels rise in response to UV-C, H2O2, and MV. In vitro assays demonstrate that this enzyme has a preference for cleaving after an arginine residue, and it has a pH optimum of 8.0., Encodes a metacaspase (cysteine-type endopeptidase) that is involved in promoting programmed cell death in response to hydrogen peroxide (H2O2), UV light, and methyl viologen (MV). Transcript levels rise in response to UV-C, H2O2, and MV. In vitro assays demonstrate that this enzyme has a preference for cleaving after an arginine residue, and it has a pH optimum of 8.0., Encodes a metacaspase (cysteine-type endopeptidase) that is involved in promoting programmed cell death in response to hydrogen peroxide (H2O2), UV light, and methyl viologen (MV). Transcript levels rise in response to UV-C, H2O2, and MV. In vitro assays demonstrate that this enzyme has a preference for cleaving after an arginine residue, and it has a pH optimum of 8.0."
"CYCB3.1"	5.380322	6.002859	5.669817	6.7431	6.230385	7.00613	6.877433	4.517344	4.439596	5.209199	5.93691	6.06312	6.597264	5.585083	4.045385	3.926164	3.580009	4.428382	5.902634	6.064516	5.645737	4.677903	5.186372	3.843222	4.751567	5.695525	5.283739	5.340655	"core cell cycle genes"
"CYP71B28"	4.275715	1.9756	3.0945	4.018027	2.876836	4.46512	2.476814	6.123009	6.48595	5.369428	6.126889	5.999558	6.066568	6.813155	7.028512	7.589408	5.253162	6.214834	6.781053	5.806036	6.399821	6.759746	6.583697	5.522931	5.418913	5.489544	5.138377	5.758472	"putative cytochrome P450"
"PHS1..PHS1"	4.405402	3.171817	2.128013	2.646201	3.503127	5.375584	4.921204	3.429156	2.014879	4.550781	3.659848	3.562773	3.230815	4.750348	4.65	4.347305	4.770516	4.278322	3.999393	4.906413	4.155763	4.720756	4.735662	4.809516	4.418203	3.638669	4.494214	4.104837	"Computational predictions suggested the presence of a small cysteine-rich protein beginning in intron 9 (Silverstein 2007), but subsequent analysis revealed that this region contains a tenth exon for the At1g10710 gene. PHS1 regulates recombination and pairing of homologous chromosomes during meiotic prophase by controlling transport of RAD50 from cytoplasm to the nucleus., Computational predictions suggested the presence of a small cysteine-rich protein downstream of this gene model (Silverstein 2007), but subsequent analysis revealed that this region contains a tenth exon for the At1g10710 gene which is depicted in the At1g10710.1 gene model."
"CYP71B2"	6.749844	6.16336	6.250681	5.286503	5.799105	5.518478	5.638113	8.014038	8.709256	7.578285	7.80391	9.352952	8.469439	8.979483	5.672789	6.825545	7.024545	6.676747	5.821702	5.651348	4.518697	7.839495	8.204199	7.818331	7.922472	8.010934	8.317786	6.472129	"cytochrome P450 monooxygenase"
"CYP71B29"	5.917356	4.912686	3.521403	2.878889	3.096632	2.778283	2.851086	7.41161	7.500394	6.47765	5.709062	5.63502	5.524351	5.717726	7.335901	8.173099	6.692653	6.136287	6.791695	6.38432	6.115495	8.39199	6.351827	6.21789	5.384518	5.77121	5.229869	5.092104	"putative cytochrome P450"
"BLT"	4.538524	4.160474	2.973345	3.027205	4.491767	2.942946	2.446783	5.7861	3.250599	5.537078	4.580648	4.502046	3.357811	4.454935	6.456383	4.779956	4.713151	4.484857	5.149772	5.344105	5.443443	5.951787	5.020791	5.446127	5.271905	5.879279	5.898129	6.216717	"Encodes BRANCHLESS TRICHOME (BLT) involved in trichome development.  A large portion of the internal amino acid sequence of BLT is predicted to form a coiled-coil domain.  BLT mutants form branchless trichomes with blunt tips."
"G.TMT..TMT1..VTE4"	6.079555	6.097686	7.255813	7.086676	7.826193	8.469879	8.106303	5.422402	5.996174	6.568799	7.288068	7.84059	8.071875	7.396169	2.845147	3.773178	5.498785	6.108364	6.981942	7.130598	7.430595	5.704814	6.123478	5.484392	6.48125	6.321012	6.928209	7.202279	"gamma-tocopherol methyltransferase (g-TMT) mRNA, nuclear; mutant has Deficient in alpha and beta tocopherol; Accumulates gamma tocopherol in leaves, gamma-tocopherol methyltransferase (g-TMT) mRNA, nuclear; mutant has Deficient in alpha and beta tocopherol; Accumulates gamma tocopherol in leaves, gamma-tocopherol methyltransferase (g-TMT) mRNA, nuclear; mutant has Deficient in alpha and beta tocopherol; Accumulates gamma tocopherol in leaves"
"CYP89..CYP89A2"	6.456135	6.657221	6.942598	7.07009	7.661739	7.932423	7.811355	5.72111	6.585052	7.002693	7.77781	8.384396	7.961064	7.74542	4.277872	5.202472	6.500365	6.644137	7.41472	7.5087	7.92991	5.119121	5.225798	5.063956	5.837465	6.034847	6.28797	6.14915	"Encodes cytochrome P450 (CYP89A2)., Encodes cytochrome P450 (CYP89A2)."
"AMT1.2..ATAMT1.2"	3.901739	2.684723	2.734258	5.082072	3.170196	4.080467	3.809209	5.475174	4.126603	6.301778	7.678963	6.599278	5.299279	5.645173	7.541046	6.116649	7.548265	5.487223	6.061698	5.169194	6.171237	6.290796	5.242108	6.572463	5.454116	4.754111	4.933349	3.895801	"encodes an ammonium transporter protein believed to act as a high affinity transporter. It is expressed in the root, primarily in endodermal and cortical cells, and contributes to ammonium uptake in the root., encodes an ammonium transporter protein believed to act as a high affinity transporter. It is expressed in the root, primarily in endodermal and cortical cells, and contributes to ammonium uptake in the root."
"APL..WDY"	3.487827	3.205644	2.951005	3.139734	3.969404	3.86739	4.247641	5.73207	4.984084	5.963159	5.508893	3.510465	4.600144	4.408607	7.192546	6.605308	6.958027	5.763127	4.774497	4.449962	5.304331	5.628187	7.173817	6.682522	6.580948	6.659882	6.580538	6.562729	"Encodes gene product that is required for several aspects of phloem development in the root: (1) the specific divisions organizing the phloem pole, (2) sieve element differentiation and (3) the expression of a companion-specific gene.  Mutant has a defect in the organization of phloem poles in the root. apl seedlings have a short, determinate root with only occasional lateral branches., Encodes gene product that is required for several aspects of phloem development in the root: (1) the specific divisions organizing the phloem pole, (2) sieve element differentiation and (3) the expression of a companion-specific gene.  Mutant has a defect in the organization of phloem poles in the root. apl seedlings have a short, determinate root with only occasional lateral branches."
"ATCHX2..CHX2"	4.592725	4.727688	4.573491	3.463335	2.836247	3.790847	3.748056	5.980126	4.812343	5.125299	4.690298	3.886235	4.178788	4.32214	4.845244	6.189489	5.479604	5.64212	4.691468	5.182552	4.199229	5.693108	5.727975	4.621226	4.891553	3.835733	5.144929	4.575388	"member of Putative Na+/H+ antiporter family, member of Putative Na+/H+ antiporter family"
"GASA1"	12.655119	11.606251	9.802437	8.453534	9.025395	9.476189	9.354631	14.45914	14.438688	14.051865	13.043315	13.218614	13.314561	13.838298	15.00191	15.090644	14.288745	14.357158	14.470315	14.326908	14.309817	14.526443	14.301072	13.890869	13.591348	13.594123	14.092418	14.183182	"GA-responsive GAST1 protein homolog regulated by BR and GA antagonistically.  Possibly involved in cell elongation based on expression data"
"UMAMIT5..WAT1"	6.762556	6.150823	5.025125	5.198678	3.858952	5.484918	5.03344	8.483357	6.996347	7.444767	6.868041	7.205061	6.865597	7.208912	10.11822	7.451658	7.013796	7.669583	7.163556	7.517755	7.119159	9.862864	8.393656	8.668509	9.567755	8.712103	9.056885	9.461044	"An Arabidopsis thaliana homolog of Medicago truncatula NODULIN21 (MtN21). The gene encodes a plant-specific, predicted integral membrane protein and is a member of the Plant-Drug/Metabolite Exporter (P-DME) family (Transporter Classification number: TC 2.A.7.3)., An Arabidopsis thaliana homolog of Medicago truncatula NODULIN21 (MtN21). The gene encodes a plant-specific, predicted integral membrane protein and is a member of the Plant-Drug/Metabolite Exporter (P-DME) family (Transporter Classification number: TC 2.A.7.3)."
"KNAT6..KNAT6L..KNAT6S"	5.812748	5.317628	3.682259	3.700573	4.527631	4.394539	5.054987	7.627319	7.137821	7.284954	7.002951	6.856492	6.761172	6.840724	7.318537	7.765024	7.881955	7.54456	7.332213	7.94212	7.556826	6.371649	7.607484	8.107943	6.986662	6.702672	7.095585	6.669364	"homeodomain transcription factor KNAT6, belonging to class I of KN transcription factor family (which also includes KNAT1 and KNAT2). Expression is increased in as and bop1 leaf mutants., homeodomain transcription factor KNAT6, belonging to class I of KN transcription factor family (which also includes KNAT1 and KNAT2). Expression is increased in as and bop1 leaf mutants., homeodomain transcription factor KNAT6, belonging to class I of KN transcription factor family (which also includes KNAT1 and KNAT2). Expression is increased in as and bop1 leaf mutants."
"GRP3S"	6.745102	7.084328	7.380794	6.436659	6.4192	5.627384	6.677324	6.655103	9.475525	9.544958	10.218488	9.0108	8.226271	7.577648	4.673117	4.900806	8.422495	7.143747	6.264319	5.950873	7.340353	3.56588	5.981454	6.583642	6.604872	4.969309	5.754639	4.576262	"glycine-rich protein 3 short isoform (GRP3S) mRNA, complete"
"CYP705A6"	4.154011	5.312449	4.565003	4.99873	4.703155	5.694587	4.978385	4.328084	4.406919	3.383727	5.064124	4.806167	4.842438	4.167324	4.110753	5.284136	2.549393	5.494392	5.406879	4.322922	3.100657	4.936864	4.848753	3.194508	4.022981	4.363381	4.119122	5.063286	"member of CYP705A"
"CYP708A3"	5.601094	4.656211	3.63553	5.276503	4.563947	5.149024	4.655432	4.967653	5.489311	5.459615	6.172188	7.282168	7.284807	7.821343	4.888044	4.09933	3.613638	4.716308	6.982056	7.237474	7.030064	4.275215	5.434491	4.902689	3.939061	5.997287	6.735336	6.705219	"member of CYP708A"
"ATTPS1..TPS1"	4.871041	4.768276	4.814124	4.414967	4.14208	4.96222	3.928427	6.442842	5.663218	5.832965	5.606288	5.665594	5.767222	5.163475	7.82365	7.387871	6.959784	6.016091	6.797557	6.667462	6.341586	6.613056	8.298683	7.56089	7.750034	6.91323	7.143931	7.370994	"Encodes an enzyme putatively involved in trehalose biosynthesis. The protein has a trehalose synthase (TPS)-like domain but no trehalose phosphatase (TPP)-like domain.  ATTPS1 is able to complement yeast tps1 mutants in vivo. The gene product modulates cell growth but not cell differentiation by determining cell wall deposition and cell division., Encodes an enzyme putatively involved in trehalose biosynthesis. The protein has a trehalose synthase (TPS)-like domain but no trehalose phosphatase (TPP)-like domain.  ATTPS1 is able to complement yeast tps1 mutants in vivo. The gene product modulates cell growth but not cell differentiation by determining cell wall deposition and cell division."
"GLIP3"	4.530249	3.148124	4.684504	4.450943	4.855168	4.958516	5.377288	3.643064	3.529805	4.720785	7.062698	7.538896	6.181372	8.029252	3.899737	5.593315	5.749779	5.517303	6.211161	5.529151	6.088395	5.202437	4.267513	6.260669	6.260503	5.381492	5.909692	6.619898	"Contains lipase signature motif and GDSL domain."
"XET..XTH33"	7.190312	5.093872	4.435534	5.154513	6.064951	6.522696	5.351535	8.229473	4.296953	7.235585	8.140749	8.715495	8.99474	8.607402	6.733395	5.765306	5.872009	5.893438	6.200583	5.961236	5.675353	8.506344	5.223456	4.510999	5.801495	7.300265	6.906523	6.59245	"Encodes a membrane-localized protein that is predicted to function during cell wall modification.Overexpression of XTH33 results in abnormal cell morphology. It's expression is under epigenetic control by ATX1., Encodes a membrane-localized protein that is predicted to function during cell wall modification.Overexpression of XTH33 results in abnormal cell morphology. It's expression is under epigenetic control by ATX1."
"GLP7"	7.133656	6.130508	4.631843	5.50865	5.726341	7.198714	6.077421	4.884774	4.163604	3.426197	5.283337	5.835404	5.368671	4.642863	5.242327	3.886324	4.570182	5.262343	4.189264	5.164681	4.36296	5.153109	6.593138	3.730673	6.245522	5.758182	5.30537	6.117723	"germin-like protein (GLP7)"
"HERK2"	7.048017	6.612864	5.704127	6.243803	5.775909	5.714679	5.642214	7.546687	5.86972	6.946167	5.735035	6.319221	6.84469	6.047699	6.227307	5.073111	3.986441	3.558872	5.24709	6.027098	6.05008	7.228277	5.126307	3.538447	4.881673	5.743828	4.165867	3.811557	"Encodes HERCULES2 (HERK2), a receptor kinase regulated by Brassinosteroids and required for cell elongation during vegetative growth."
"BBX25..STH"	4.204542	2.688395	4.15335	4.47165	4.979813	3.776927	2.895852	6.20099	6.135139	6.814151	6.914698	6.095027	6.114222	6.383434	5.586813	5.803356	5.984927	6.461431	6.575386	5.268729	4.703444	5.261734	5.961324	5.992972	5.776964	4.951456	5.924111	5.834554	"a B-box zinc finger protein that interacts with COP1. contains a novel 11 amino acid motif at the C-terminus (also found at the N-terminus of HY5) that is involved in the COP1 interaction., a B-box zinc finger protein that interacts with COP1. contains a novel 11 amino acid motif at the C-terminus (also found at the N-terminus of HY5) that is involved in the COP1 interaction."
"HTA8"	7.319263	8.308896	8.369493	8.617639	8.234295	9.084248	9.171295	6.33987	7.123309	7.020918	7.53252	7.930372	8.660309	7.951453	3.603284	4.186076	6.117923	7.718776	8.180649	8.268924	8.0357	5.652712	7.187879	5.581091	6.728561	7.179886	7.723112	8.250214	"Encodes HTA8, a histone H2A protein."
"AGL44..ANR1"	3.737871	4.189364	2.779374	4.904966	5.871386	4.910688	5.481825	4.293643	5.802417	5.144484	5.412435	7.083175	5.910045	7.038545	5.519032	6.867529	7.094739	7.302829	8.062691	7.656334	8.017404	4.904802	5.367791	5.445896	5.934121	6.556073	6.648877	6.880356	"MADS box gene, transcription factor, MADS box gene, transcription factor"
"ARFB1A..ATARFB1A"	3.57996	3.042672	4.076321	2.816497	3.427065	4.166886	2.742173	6.801724	5.917844	6.710939	5.881463	5.205495	5.114699	4.015951	7.937254	6.42746	6.728256	6.124824	6.386546	5.930997	5.317959	6.426911	7.465428	6.792048	7.405093	7.23948	7.474665	7.80501	"A member of ARF GTPase family. A thaliana has 21 members of this family, known to be essential for vesicle coating and uncoating and functions in GTP-binding. Gene encoding ADP-ribosylation factor and similar to ADP-ribosylation factor (GI:861205) (Chlamydomonas reinhardtii), other ARFs and ARF-like proteins., A member of ARF GTPase family. A thaliana has 21 members of this family, known to be essential for vesicle coating and uncoating and functions in GTP-binding. Gene encoding ADP-ribosylation factor and similar to ADP-ribosylation factor (GI:861205) (Chlamydomonas reinhardtii), other ARFs and ARF-like proteins."
"AtGDU4..GDU4"	3.643098	2.119776	1.69939	2.15484	1.81689	1.239827	2.149018	6.491409	6.654936	5.671268	3.568686	4.82227	5.067643	5.794631	8.158052	7.393121	5.196053	4.967954	4.126909	6.509327	6.271503	6.582979	7.015155	6.621195	6.390882	6.483984	6.693037	6.957007	"Encodes a member of the GDU (glutamine dumper) family proteins involved in amino acid export: At4g31730 (GDU1), At4g25760 (GDU2), At5g57685 (GDU3), At2g24762 (GDU4), At5g24920 (GDU5), At3g30725 (GDU6) and At5g38770 (GDU7)., Encodes a member of the GDU (glutamine dumper) family proteins involved in amino acid export: At4g31730 (GDU1), At4g25760 (GDU2), At5g57685 (GDU3), At2g24762 (GDU4), At5g24920 (GDU5), At3g30725 (GDU6) and At5g38770 (GDU7)."
"AGT..AGT1..SGAT"	4.714281	4.242338	4.079849	4.026655	4.463255	5.310244	4.799867	7.134293	8.029819	8.505872	8.521344	7.968393	7.41966	7.976925	2.872684	4.658024	5.402199	5.182793	4.981295	3.699824	5.19456	3.163127	5.922793	5.201849	5.91689	5.392963	5.190798	6.162837	"Encodes a peroxisomal photorespiratory enzyme that catalyzes transamination reactions with multiple substrates. It is involved in photorespiration., Encodes a peroxisomal photorespiratory enzyme that catalyzes transamination reactions with multiple substrates. It is involved in photorespiration., Encodes a peroxisomal photorespiratory enzyme that catalyzes transamination reactions with multiple substrates. It is involved in photorespiration."
