"feature"	"ontology"	"SVG"	"description"
"398"	"plant.embryo"	"PO_0009009"	"sorghum_bicolor.flower_parts.svg"	"A whole plant (PO:0000003) that participates in the plant embryo stage (PO:0007631)."
"399"	"endosperm"	"PO_0009089"	"sorghum_bicolor.flower_parts.svg"	"A portion of plant tissue (PO:0009007) which is a maximal portion of nutritive plant tissue in a seed (PO:0009010)."
"400"	"shoot"	"PO_0009006"	"sorghum_bicolor.whole_plant.svg"	"A collective plant organ structure (PO:0025007) that produces shoot-borne portions of meristem tissue (PO:0009013) and the plant structures (PO:0009011) that arise from them."
"401"	"shoot.meristem"	"PO_0006079"	"sorghum_bicolor.whole_plant.svg"	"A portion of meristem tissue (PO:0009013) that is part of a shoot system (PO:0009006)."
"402"	"stem"	"PO_0009047"	"sorghum_bicolor.whole_plant.svg"	"A shoot axis (PO:0025029) that is the primary axis of a plant."
"403"	"inflorescence.meristem"	"PO_0000230"	"sorghum_bicolor.whole_plant.svg"	"A meristem that gives rise to an inflorescence."
"404"	"leaf"	"PO_0025034"	"sorghum_bicolor.whole_plant.svg"	"A phyllome (PO:0006001) that is not associated with a reproductive structure."
"405"	"inflorescence"	"PO_0009049"	"sorghum_bicolor.whole_plant.svg"	"A reproductive shoot system (PO:0025082) that has as parts all of the shoot axes (PO:0025029) and flowers (PO:0009046; must have two or more) distal to the most distal leaf (PO:0009025)."
"406"	"root"	"PO_0009005"	"sorghum_bicolor.whole_plant.svg"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."
"407"	"brain"	"UBERON_0000955"	"tetraodon_nigroviridis.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"408"	"heart"	"UBERON_0000948"	"tetraodon_nigroviridis.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"409"	"kidney"	"UBERON_0002113"	"tetraodon_nigroviridis.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"410"	"skeletal.muscle.organ"	"UBERON_0014892"	"tetraodon_nigroviridis.svg"	"A muscle organ that consists of skeletal muscle tissue ensheathed in epimysium, that develops from myotome and that is innervated by some somatic motor neuron. Skeletal muscles are typically attached (via a tendon) to a bone but there are exceptions (e.g. intrinsic tongue muscles)."
"411"	"coleoptile"	"PO_0020033"	"triticum_aestivum.flower_parts.svg"	"A sheath-like plant organ (PO:0009008) that surrounds the plumule (PO:0020032) of a plant embryo (PO:0009009) or the emerging shoot apex (PO:0000037) of a seedling."
"412"	"radicle"	"PO_0020031"	"triticum_aestivum.flower_parts.svg"	"An embryo root (PO:0000045) that is the basal continuation of a hypocotyl (PO:0020100) in a plant embryo (PO:0009009) or a seedling (PO:0000003)."
"413"	"endosperm"	"PO_0009089"	"triticum_aestivum.flower_parts.svg"	"A portion of plant tissue (PO:0009007) which is a maximal portion of nutritive plant tissue in a seed (PO:0009010)."
"414"	"outer.pericarp"	"PO_0009085"	"triticum_aestivum.flower_parts.svg"	"A portion of plant tissue (PO:0009007) that is the outer layer of a pericarp (PO:0009084)."
"415"	"inner.pericarp"	"PO_0009086"	"triticum_aestivum.flower_parts.svg"	"A portion of plant tissue (PO:0009007) that is the innermost differentiated layer of a pericarp (PO:0009084)."
"416"	"pericarp"	"PO_0009084"	"triticum_aestivum.flower_parts.svg"	"A portion of plant tissue (PO:0009007) that is the outer layer (wall) of a fruit (PO:0009001), and develops from a plant ovary (PO:0009072) or a carpel (PO:0009030) wall."
"417"	"plant.embryo"	"PO_0009009"	"triticum_aestivum.flower_parts.svg"	"A whole plant (PO:0000003) that participates in the plant embryo stage (PO:0007631)."
"418"	"caryopsis"	"PO_0009001"	"triticum_aestivum.flower_parts.svg"	"A multi-tissue plant structure (PO:0025496) that develops from a gynoecium (PO:0009062), or a single carpel (PO:0009030), and at maturity may have as parts one or more seeds (PO:0009010)."
"419"	"seed.coat"	"PO_0009088"	"triticum_aestivum.flower_parts.svg"	"A portion of plant tissue that is the covering of a seed derived from ovular - mainly integumentary - tissue."
"420"	"anther"	"PO_0009066"	"triticum_aestivum.flower_parts.svg"	"A collective plant organ structure (PO:0025007) that is the pollen-bearing part of a stamen (PO:0009029)."
"421"	"carpel"	"PO_0009030"	"triticum_aestivum.flower_parts.svg"	"A megasporophyll, almost always at the center of a flower, its margins more or less fused together or with other carpels to enclose the ovule(s)."
"422"	"stem"	"PO_0009047"	"triticum_aestivum.whole_plant.svg"	"A shoot axis (PO:0025029) that is the primary axis of a plant."
"423"	"leaf"	"PO_0025034"	"triticum_aestivum.whole_plant.svg"	"A phyllome (PO:0006001) that is not associated with a reproductive structure."
"424"	"root"	"PO_0009005"	"triticum_aestivum.whole_plant.svg"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."
"425"	"inflorescence"	"PO_0009049"	"triticum_aestivum.whole_plant.svg"	"A reproductive shoot system (PO:0025082) that has as parts all of the shoot axes (PO:0025029) and flowers (PO:0009046; must have two or more) distal to the most distal leaf (PO:0009025)."
"426"	"brain"	"UBERON_0000955"	"xenopus_tropicalis.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"427"	"heart"	"UBERON_0000948"	"xenopus_tropicalis.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"428"	"kidney"	"UBERON_0002113"	"xenopus_tropicalis.svg"	"A paired organ of the urinary tract which has the production of urine as its primary function."
"429"	"skeletal.muscle.organ"	"UBERON_0014892"	"xenopus_tropicalis.svg"	"A muscle organ that consists of skeletal muscle tissue ensheathed in epimysium, that develops from myotome and that is innervated by some somatic motor neuron. Skeletal muscles are typically attached (via a tendon) to a bone but there are exceptions (e.g. intrinsic tongue muscles)."
"430"	"liver"	"UBERON_0002107"	"xenopus_tropicalis.svg"	"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO]."
"431"	"caryopsis"	"PO_0009001"	"zea_mays.flower_parts.svg"	"A multi-tissue plant structure (PO:0025496) that develops from a gynoecium (PO:0009062), or a single carpel (PO:0009030), and at maturity may have as parts one or more seeds (PO:0009010)."
"432"	"anther"	"PO_0009066"	"zea_mays.flower_parts.svg"	"A collective plant organ structure (PO:0025007) that is the pollen-bearing part of a stamen (PO:0009029)."
"433"	"coleoptile"	"PO_0020033"	"zea_mays.flower_parts.svg"	"A sheath-like plant organ (PO:0009008) that surrounds the plumule (PO:0020032) of a plant embryo (PO:0009009) or the emerging shoot apex (PO:0000037) of a seedling."
"434"	"radicle"	"PO_0020031"	"zea_mays.flower_parts.svg"	"An embryo root (PO:0000045) that is the basal continuation of a hypocotyl (PO:0020100) in a plant embryo (PO:0009009) or a seedling (PO:0000003)."
"435"	"plant.embryo"	"PO_0009009"	"zea_mays.flower_parts.svg"	"A whole plant (PO:0000003) that participates in the plant embryo stage (PO:0007631)."
"436"	"endosperm"	"PO_0009089"	"zea_mays.flower_parts.svg"	"A portion of plant tissue (PO:0009007) which is a maximal portion of nutritive plant tissue in a seed (PO:0009010)."
"437"	"pericarp"	"PO_0009084"	"zea_mays.flower_parts.svg"	"A portion of plant tissue (PO:0009007) that is the outer layer (wall) of a fruit (PO:0009001), and develops from a plant ovary (PO:0009072) or a carpel (PO:0009030) wall."
"438"	"ear.inflorescence"	"PO_0020136"	"zea_mays.flower_parts.svg"	"A pistillate inflorescence (PO:0025598) in Zea species that is highly compacted and bears the ear spikelets (PO:0006320) on a lateral inflorescence axis (PO:0020122)."
"439"	"ear.infructescence"	"PO_0025597"	"zea_mays.flower_parts.svg"	"An infructescence (PO:0006342) in Zea species that bears kernels (i.e. caryopsis fruit; PO:0030104) on a compact ear infructescence axis (PO:0025623) and develops from the ear inflorescence (PO:0020136)."
"440"	"tassel"	"PO_0020126"	"zea_mays.whole_plant.svg"	"A staminate inflorescence (PO:0025601) in Zea species that bears the tassel spikelet (PO:0006309) on a terminal inflorescence axis (PO:0020122)."
"441"	"ear.inflorescence"	"PO_0020136"	"zea_mays.whole_plant.svg"	"A pistillate inflorescence (PO:0025598) in Zea species that is highly compacted and bears the ear spikelets (PO:0006320) on a lateral inflorescence axis (PO:0020122)."
"442"	"style"	"PO_0009074"	"zea_mays.whole_plant.svg"	"A cardinal organ part (PO:0025001) which is an elongated part of a carpel (PO:0009030) or gynoecium (PO:0009062) between the plant ovary (PO:0009072) and the stigma (PO:0009073), and through which the pollen tube (GO:0090406) grows."
"443"	"leaf"	"PO_0025034"	"zea_mays.whole_plant.svg"	"A phyllome (PO:0006001) that is not associated with a reproductive structure."
"444"	"internode"	"PO_0020142"	"zea_mays.whole_plant.svg"	"A shoot axis internode (PO:0005005) that is part of a stem (PO:0009047)."
"445"	"primary.root"	"PO_0020127"	"zea_mays.whole_plant.svg"	"A root (PO:0009005) that develops directly from a seedling radicle (PO:0020127)."
"446"	"root"	"PO_0009005"	"zea_mays.whole_plant.svg"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."
