"root_total__control"	"root_total__hypoxia"	"root_p35S__control"	"root_p35S__hypoxia"	"root_pSCR__control"	"root_pSCR__hypoxia"	"root_pSHR__control"	"root_pSHR__hypoxia"	"root_pWOL__control"	"root_pWOL__hypoxia"	"root_pGL2__control"	"root_pGL2__hypoxia"	"root_pSUC2__control"	"root_pSUC2__hypoxia"	"root_pSultr2.2__control"	"root_pCO2__control"	"root_pCO2__hypoxia"	"root_pPEP__control"	"root_pPEP__hypoxia"	"root_pRPL11C__control"	"root_pRPL11C__hypoxia"	"shoot_total__control"	"shoot_total__hypoxia"	"shoot_p35S__control"	"shoot_p35S__hypoxia"	"shoot_pGL2__control"	"shoot_pGL2__hypoxia"	"shoot_pRBCS__control"	"shoot_pRBCS__hypoxia"	"shoot_pSUC2__control"	"shoot_pSUC2__hypoxia"	"shoot_pSultr2.2__control"	"shoot_pCER5__control"	"shoot_pCER5__hypoxia"	"shoot_pKAT1__control"	"shoot_pKAT1__hypoxia"	"metadata"
"PSAF"	6.92971541125	7.04382029	7.57741442766667	7.794537612	6.7853625385	7.1755736655	7.3977211335	7.591067847	7.1460660485	7.4266146565	7.670262861	8.153086043	7.1368957655	7.053140047	7.1390669155	6.9146709435	7.075140402	8.5892895045	8.4079201105	6.8767908575	7.445437771	12.46747768	12.1738126966667	12.612180515	12.584273985	11.869064915	12.16813294	12.763468815	12.779995385	12.325412215	11.9066729	11.911924675	10.917900175	11.11388008	12.10601402	12.44890714	"photosystem I subunit III precursor, putative similar to photosystem I subunit III precursor GB:U08135 GI:854707 from[Hordeum vulgare];supported by full-length cDNA: Ceres:40329."
"PnsL2.PQL1.PQL2"	4.477145498	4.473276005	4.478390486	4.512353048	4.8987918085	5.4847979285	4.4202418655	4.5285025205	4.63447731	4.4639908615	4.38764623466667	4.6083798855	4.408426452	4.5223398395	4.512543792	4.5953530445	4.555893	4.620728076	4.558358816	4.456179219	4.6568461645	10.49483998	10.76648331	10.747099795	11.4391342	10.150066425	10.498725415	10.924665135	11.246338735	7.8854050615	8.908565258	10.75318097	7.793372725	8.621044708	11.316487615	11.481016075	"unknown protein location of ESTs 144D22XP 3', gb|AA404877 and 144D22T7, gb|T75757;supported by full-length cDNA: Ceres:5665."
"ACD31.2.ACD32.1"	4.63059372275	4.43504443933333	4.927935697	4.7014675965	4.3459483715	4.4654513725	5.2148763385	4.848192382	4.8295072905	4.8249893145	5.24215117133333	4.9613975885	5.6912500095	5.625608823	5.1188544705	4.32287656	4.4902590135	4.6950931675	4.6776095685	5.1093804205	4.943270163	9.33708353	9.50004982166667	9.288803975	9.540061394	8.3484751175	8.922008118	9.6230219075	9.895513622	8.461957453	8.5430034445	9.084496156	7.4101286875	7.9593782125	8.844227777	9.3219997955	"heat shock protein, putative contains Pfam profile: PF00011 Hsp20/alpha crystallin family;supported by full-length cDNA: Ceres:21735."
"OE23.OEE2.PSBP.1.PSII.P"	7.2025820955	7.39701946833333	8.37941324166667	8.413480113	6.9123321455	6.7895623225	7.8902268065	7.863821521	7.9756136495	7.899917493	8.281928488	8.271770106	7.646102727	7.3919296685	8.0920517235	7.568565015	7.441670209	8.3253079015	8.18436652	7.6299443235	7.0179946885	13.4106424533333	13.2497195633333	13.16091954	13.28472909	12.856374375	13.002443935	13.318762095	13.3060728	12.815571525	12.478740575	13.271993785	11.20172159	11.90081931	13.29343432	13.45708534	"23 kDa polypeptide of oxygen-evolving comlex (OEC) identical to 23 kDa polypeptide of oxygen-evolving comlex (OEC) GB:CAA66785 GI:1769905 [Arabidopsis thaliana];supported by full-length cDNA: Ceres:33922."
"ATPAP3.PAP3"	4.81654472225	4.86748860966667	5.14846320466667	4.9791017435	4.758565438	4.9473989405	5.4159469235	5.0871608845	4.8446787955	4.969015816	4.97407197966667	4.95278051	4.778911205	4.9232602555	4.9534395395	4.660977042	4.7566727045	5.0385130305	5.2843033325	5.078366877	4.749518965	8.44804336366667	8.24303176166667	7.91483593	7.79712652	7.8418756075	7.6203860705	8.372120788	8.090364743	6.2289392425	6.5219176215	9.274553736	7.7562100165	7.6714092015	8.640678261	8.1411137245	"purple acid phosphatase, putative contains Pfam profile: PF02227 Purple acid phosphatase"
"ATH7.TH7"	7.15300604025	7.60593046333333	8.52052828466667	8.477146813	5.8794143565	6.3749044705	6.764273829	7.3184718395	7.8971481685	7.8751968295	8.78880077933333	9.078964364	10.265724445	10.83198182	8.781926349	7.0090707145	6.2795386055	6.3140377895	7.261733802	7.832576539	8.2367173165	4.54764956466667	4.66451574533333	4.8405012305	4.7306371925	4.7993638575	4.751263422	4.675796345	4.944786951	5.7837864385	5.5349032235	4.781918726	4.500549089	4.5616388325	4.7128861815	4.7786288955	"thioredoxin, putative similar to thioredoxin GI:992964 from [Arabidopsis thaliana]"
"LQY1"	5.041633521	5.19299720666667	5.77658731066667	5.8436718495	4.9370516375	5.2745001245	5.276576697	5.6934299315	5.405692837	5.798554828	6.04910802466667	5.72555796	5.043638878	5.11280477	5.9500877015	5.2042186685	5.3601076575	5.842200524	6.165552386	5.4206221865	5.2327634775	11.4192176966667	11.4034445366667	11.598203145	11.745342345	11.116697025	11.36152658	11.690189935	11.849120935	9.7477595955	9.133086415	11.090900535	9.2984068185	10.090391443	11.50020019	11.58540638	"unknown protein"
"MLP423"	6.504443032	6.48385475633333	6.71672876433333	7.02182734	6.0605014705	5.976117974	6.228238184	5.8713978615	6.132876971	5.562446976	6.57311070066667	6.7491365725	6.2270260245	6.2738125285	6.204149595	6.132175021	5.8524625215	6.95267393	7.282407281	6.222908598	6.304883252	11.8150498566667	11.66159237	12.53212043	12.119422685	12.864184975	12.75981051	11.97944776	11.15588602	10.167562043	9.641415349	12.28969765	13.50288905	12.61253837	12.27081543	11.204956615	"pollen allergen-like protein similar to major allergen Bet v 1 GB:CAA96544 GI:1321726 from [Betula pendula]; supported by full-length cDNA: Ceres: 6145."
"GRP3S"	6.08397646275	6.18872992833333	7.08007404233333	6.63204113	6.4611233735	6.440274638	6.0377959185	6.592216878	6.08744414	6.8716015535	7.34377700466667	7.2453420925	5.1507290625	5.5176358475	6.3249546675	6.3215714485	6.405541099	6.395151186	6.735324852	6.2759742145	6.156987116	10.9313364433333	10.7735299866667	10.905900765	11.07074118	10.97680262	11.27204196	10.917440665	10.831023815	9.5617510005	9.131109349	11.38156834	11.4560868	11.513853175	10.965410165	10.966364495	"unknown protein  ; supported by cDNA: gi_15146251_gb_AY049267.1_"
"ROSY1"	13.36158828	13.4713816633333	13.3929821566667	13.162181755	14.021699085	14.157262575	13.477265755	13.49876577	14.086460145	14.095059475	13.1343824233333	13.275963695	12.28856913	12.18571122	12.74737355	13.46611037	13.042738745	13.321110095	13.46791284	13.33903823	13.12970783	8.667817658	8.516393848	7.8039695385	7.8934759215	7.153226748	7.364832928	6.018574736	6.4189793365	6.045378661	6.0392501525	6.684548957	6.369298392	6.771013147	7.5862045975	7.5809023325	"Expressed protein ; supported by full-length cDNA: Ceres: 994."
"PSAD.2"	5.42094102475	5.39469928833333	5.72764495133333	5.392853041	5.4682615985	5.5438172525	5.409722203	5.6497995375	5.2978235075	5.417658055	6.15821106733333	6.25495011	6.921089512	6.170735416	6.0593906455	5.7842178475	5.520568958	5.521256174	6.256810934	5.4200807715	5.5042795805	11.4597507066667	10.6806545566667	11.693852025	11.058344055	10.93062378	10.141862274	12.147657765	11.34485511	11.55446264	10.676468455	11.32297321	9.38743871	8.852988408	10.872980165	10.201476055	"putative photosystem I reaction center subunit II precursor Strong similarity to gb|X14017 from Spinacia oleracea. ESTs gb|R30423, gb|T42998, gb|Z18178, gb|T14133, gb|N65521, gb|T42498, gb|T41918, gb|N38024, gb|R65109, gb|T43849, gb|AA394388, gb|T20925 and;supported by full-length cDNA: Ceres:2757."
"GRXS1.ROXY16"	4.40035007175	4.45060328	4.47007915533333	4.4372620485	4.3763943295	4.4456336215	4.5125124635	4.5507126785	4.4945197645	4.5671512765	4.58914310833333	4.5671516335	4.562857285	4.6346772175	4.368083073	4.6672751925	4.377065702	4.286116902	4.4754389215	4.489418556	4.63666809	5.37759554833333	5.09562898066667	6.2902095195	6.418867989	6.5884430275	7.0176232845	5.7767946825	5.6329197955	11.426743605	11.190585845	7.434289805	4.332869059	4.50086437	6.152472248	6.785157916	"putative glutaredoxin Strong similarity to gb|Z49699 glutaredoxin from Ricinus communis"
"ESP.ESR.TASTY"	4.76992018625	4.84236201133333	4.76116714433333	4.6496998345	4.5716320805	4.7807630885	4.730939537	4.6376342195	4.6462605085	4.5778971125	4.52434265966667	4.737214567	4.868450492	4.625060554	4.6188024665	4.8180394525	4.7798191265	4.5035895925	4.6187135205	4.698160012	5.2403870355	7.58898048366667	7.75398372133333	8.572242748	8.579380548	8.933667603	9.062566299	7.793912063	7.5750759085	7.532054731	7.687524936	8.9074497225	10.406291075	10.1816036095	7.8903955575	7.522304286	"jasmonate inducible protein, putative similar to jasmonate inducible protein GI:9279638 from [Arabidopsis thaliana]"
"AtBBE8"	8.7014480895	9.80787818366667	7.25902869866667	8.595440252	7.33901694	9.6027207025	7.202076891	9.234488983	7.5074097715	10.70484	8.23750741033333	9.1184444555	8.0495429775	10.055262251	8.373332455	8.6966118805	11.08953392	8.8167446795	11.849472345	7.4130618335	9.5195811975	5.31617611866667	5.473191872	5.312853587	5.5264268	5.158699002	5.0434520275	5.3413842635	5.0136495235	5.131377492	5.086030607	4.9781111805	5.5502901635	5.1480991885	5.1191487335	5.9229934865	"putative reticuline oxidase-like protein similar to GB:P30986 from [Eschscholzia californica] ( berberine bridge-forming enzyme ), ESTs gb|F19886, gb|Z30784 and gb|Z30785 come from this gene; supported by cDNA: gi_16930506_gb_AF419607.1_AF419607"
"CYP705A13"	9.8102229305	9.70394066666667	8.47620582166667	8.3134040145	9.1431995955	9.304073111	8.1962095755	8.578985833	8.400884735	8.5205617655	8.85247642133333	9.215914156	8.5485227215	9.1901114125	8.7612439645	9.3991135895	9.164713509	10.232468036	10.24558275	8.091565754	8.4416596145	4.991668032	5.14089230833333	4.6179807255	4.8933022985	4.4936377745	4.839397619	4.352613373	4.729131605	4.548412646	4.4715715185	5.0193414755	4.5605674345	4.6016177425	4.995022021	4.7272013375	"putative cytochrome P450"
"ATDTX1.DTX1.TX1"	4.464352921	4.67584697766667	4.675606244	4.725607932	4.383564557	4.4086765655	4.5447426055	4.6427607795	4.3626913505	4.508437104	4.519425177	4.5594323985	4.4501185085	4.5554386415	4.3241434795	4.4111437245	4.3860265935	4.445412663	4.550826279	4.2514822415	4.5219872665	8.73460067133333	8.193819685	8.7508188185	8.11584796	7.7949578855	7.276407283	8.6766580305	7.8784698975	5.411607882	5.5851696155	5.1765100825	7.3297599615	6.404488587	6.4310868945	5.9390683655	"hypothetical protein similar to hypothetical protein GB:AAC27412"
"NdhV"	4.70906292975	4.84745796333333	4.72941677233333	4.837563123	4.7577129485	4.7974699545	4.919307385	4.9493196795	4.54896019	4.784715195	4.719415399	4.8568939545	4.633950415	4.7225200195	4.6512527195	4.495863769	4.7249250185	4.7475392605	4.676858487	4.758594359	4.657045353	8.823972638	8.88000123966667	9.2478734775	9.350375113	8.662351469	8.929050822	9.8653981605	10.175501875	7.9435430115	7.580484286	8.9936372545	7.367503085	7.527632214	9.080875235	9.2930419685	"predicted protein ;supported by full-length cDNA: Ceres:28779."
"ATPAP7.PAP7"	10.6679898725	10.62168388	9.616788645	9.4310000935	9.781576878	9.8132340505	9.928625747	9.909379171	9.815354289	10.045394447	9.99119165466667	9.7389380225	9.77579785	9.3800410845	9.507377143	10.781727965	10.427498205	9.625208692	10.305937945	9.264580538	8.9911903985	5.82151787166667	5.78822578566667	6.213549357	5.7900311675	5.330518173	5.7945055885	5.7261171455	5.7710380735	6.069791073	6.0306821405	5.495561698	5.4757882975	5.425295071	5.5384315515	5.656985465	"putative purple acid phosphatase contains metallo-phosphoesterase motif (PS50185)"
"CRB.CSP41B.HIP1.3"	5.8122499775	5.95317564933333	6.80774163733333	6.731088144	6.114592172	5.973678676	6.788699804	6.260202666	6.4825688715	6.109354456	6.967931893	6.868979859	6.057370743	6.225308614	7.0104800085	6.6314873645	6.236862378	6.422119216	6.430412176	6.5136593155	5.813810823	13.0923319066667	13.1787505366667	12.573372115	12.87140004	12.264134075	12.51541063	13.015214925	13.071661175	10.78870944	11.337691365	12.751049205	10.619080005	11.494203955	12.91205311	13.230192715	"putative RNA-binding protein Identical to gb|Y10557 g5bf gene from Arabidopsis thaliana. ESTs gb|R30578, gb|R90475, gb|T22384, gb|T22425, gb|N64934 and gb|T46767 come from this gene;supported by full-length cDNA: Ceres:37028."
"AtFBA1.FBA1"	4.3153818425	4.304433672	4.52452712733333	4.461124023	4.5329393715	4.317181146	4.421011638	4.2735150315	4.3069928395	4.386585947	4.351265407	4.6130744925	4.6376268525	4.4522413035	4.5651780815	4.3829775145	4.2715793625	4.629752641	4.523573338	4.4138219375	4.3479145185	11.41303915	11.6925786033333	10.699002425	11.24730584	10.0463184785	10.48235425	11.364040225	11.555713485	10.066624545	10.0868963265	10.58702504	8.5562460925	9.9940391425	11.05072807	11.78818682	"putative fructose bisphosphate aldolase  ; supported by cDNA: gi_14334739_gb_AY035043.1_"
"SAUR6"	4.4592316975	4.76487996566667	4.97524109466667	4.906325538	4.067853809	4.545328623	4.437871712	5.835958164	4.502374659	6.0797365505	4.48457370166667	4.9426990155	4.298080204	4.352752923	4.2562735715	4.1969301655	4.579608398	4.400638458	5.1159745645	4.6733317795	5.5115125625	9.920076191	10.2342079353333	10.80486584	11.17371174	10.0747008955	10.94060683	10.97455611	11.3923845	10.88720286	10.834493785	10.27785247	8.8934929635	9.604024404	10.360356945	11.148536905	"putative auxin-regulated protein"
"AtMC7.AtMCP2a.MC7.MCP2a"	5.62304482425	5.736269095	5.76480697566667	5.201805419	6.6331933175	8.241837781	7.0756519875	7.7048958835	7.1867743075	7.295528405	7.77951342833333	7.813024885	7.2953529335	8.7421042145	6.6000121185	8.344375588	9.220215251	6.034977971	7.165692527	5.2908034825	5.638773995	4.062508107	4.23646763066667	4.0729289305	4.082709482	4.105425649	3.936286298	4.1074004465	4.268914095	4.47344109	4.370720672	4.209524696	4.127589049	4.178604458	4.2921872915	4.2103379055	"latex-abundant protein, putative similar to latex-abundant protein GI:4235430 from [Hevea brasiliensis]"
"DAISY.KCS2"	8.80377821975	8.08237741066667	8.39218223866667	7.591701713	11.07875907	10.886074525	10.0470547355	9.2520246535	10.312823825	9.316521913	10.7460652733333	8.9687747005	10.72150539	10.169294108	9.565278275	11.0450989	10.610186225	8.3057000465	8.3499040215	8.0998255545	7.9211518115	5.85635338833333	5.16155073566667	5.431101168	5.1744883065	6.4135531695	6.337793467	4.783703394	4.54130327	5.632035535	6.0810401195	6.3511681925	6.4681780955	6.3582790025	7.3404224325	6.442982487	"putative beta-ketoacyl-CoA synthase Strong similarity to beta-keto-Coa synthase gb|U37088 from Simmondsia chinensis"
"CYP735A2"	8.828274984	7.96696145933333	9.96134538833333	9.3110740945	8.1567511865	7.6034681565	9.433464153	8.4163526705	10.316274535	8.4406684675	9.03353326833333	8.306295338	8.8740346095	7.5725645675	9.608053829	10.376826235	7.4972909195	7.7272568825	6.788154883	11.05585419	9.6095410835	5.88154273866667	6.00980637066667	5.7032100565	5.7393419855	5.3679041215	5.603146033	4.9861731035	5.3515795905	5.125948125	5.4323975265	5.391154472	5.053605824	5.2357740655	5.662838	5.441254684	"cytochrome P450, putative similar to cytochrome P450 (CYP72B) GI:404687 from [Catharanthus roseus]"
"AtSTP14.STP14"	5.4611123265	5.589358047	5.372598243	5.6088300695	5.6070042825	5.4281929075	5.4004233405	5.31800258	5.228563121	5.3525903625	5.33846894633333	5.598334262	5.492703095	5.344827443	5.3092238905	5.404953049	5.3733476345	5.552723116	5.361467919	5.556881589	5.257811643	9.485682741	9.58921962433333	9.439321092	9.6919727805	10.570934695	10.67599085	9.015755038	9.0446173445	9.160860742	9.6554923405	10.936629695	11.967491615	12.029555655	9.1055423775	9.1351689985	"sugar carrier protein, putative similar to sugar carrier protein GI:169735 from [Ricinus communis]"
"PSAG"	6.025972672	5.56799202033333	7.603023627	6.878697845	6.5142309265	5.664080576	6.6831705405	6.447177688	6.676335157	6.3240805755	7.819240515	6.9769070185	5.7909901345	6.4190667435	7.4751946695	5.8739604	5.912951219	7.004945119	6.6951179525	6.3652222375	5.6323633975	13.38566719	13.21119073	13.24049648	13.338792085	13.03398182	13.198967995	13.38504058	13.187864345	12.945458715	12.45192972	13.04781309	12.23431921	12.38023891	13.34672067	13.525254985	"photosystem I subunit V precursor, putative similar to photosystem I subunit V precursor GB:CAB52748 GI:5734520 from [Arabidopsis thaliana]; supported by cDNA: gi_13265559_gb_AF324710.2_AF324710"
"EMB2394.RPL6"	5.41107044875	5.579660118	6.28768554366667	5.96804876	5.348020499	5.2574650475	6.492526825	6.009459167	6.303503566	6.0505883315	6.00972819233333	5.4544393105	5.74163736	5.157245961	6.4194566925	5.733391274	5.534996857	5.80792095	5.56681278	6.133876731	5.8362684775	9.978841163	9.87693597266667	10.391575705	10.335150655	9.792671036	9.831526613	10.752404295	10.60153622	9.218375093	8.430608687	9.9523718755	8.1425676175	8.5971971705	10.252916625	10.43961521	"putative chloroplast 50S ribosomal protein, L6 Similar to Mycobacterium RlpF (gb|Z84395). ESTs gb|T75785,gb|R30580,gb|T04698 come from this gene;supported by full-length cDNA: Ceres:1730."
"STMP5"	4.56830824825	4.62987855766667	4.61826807566667	4.79701789	4.655318046	4.6453383395	4.5595478905	4.5956671845	4.48811705	4.704881235	4.76273897633333	4.9018880585	4.2822277395	4.4955015305	4.2686510895	4.495386345	4.643736641	4.656831128	4.9671158005	4.5941944425	4.590453818	8.51126081466667	10.4281102806667	9.879704819	11.480174475	9.2606589375	10.933640525	10.267177135	11.55542872	5.846811158	7.8931390605	8.3744411385	5.676976314	9.0017641305	8.843163164	10.85922316	"hypothetical protein predicted by genemark.hmm;supported by full-length cDNA: Ceres:2118."
"ATRBOHB.ATRBOHB.BETA.RBOHB"	8.399411073	11.19445908	7.019153439	10.202107725	9.450731609	12.55452842	7.580080743	11.169276675	8.299979371	11.32334664	8.577508348	11.733189065	8.3848401175	11.8989459	8.2492487735	9.1816760915	12.335896985	8.76999813	12.394836465	7.3772483755	10.88827293	4.66180131733333	6.02563821066667	4.409327068	5.4501913325	3.9541767855	4.7076969435	4.3267723755	4.428868357	4.406651009	5.059567132	4.4115987925	4.0605157305	4.7135529165	4.5466483995	7.0837576185	"putative respiratory burst oxidase protein B Strong similarity to Oryza NADPH oxidase (gb|X93301)"
"AtPaspA2.PaspA2"	5.11885527125	5.33490940166667	5.46981808833333	5.649207318	5.1019588045	5.154054911	5.028361776	5.0770434915	4.944757762	5.340011971	5.182116405	5.1808621515	5.299230002	5.2994257475	5.094372769	4.9684010625	5.2166012375	5.3256500555	5.072906661	5.2093846405	5.3077447995	9.588643231	9.610271155	8.7242369875	9.044472318	8.365065845	8.7171972985	9.1956286645	9.1245738875	6.185277226	7.250679237	8.1267385515	7.8660829405	8.3193240185	8.1945249895	9.0140518255	"aspartic protease, putative similar to aspartic protease GI:1326164 from [Brassica napus]"
"STMP2"	4.21404570525	4.28232659833333	4.207581529	4.104690653	4.0679967545	4.279922756	4.0433950825	4.167175199	3.9292315115	4.175014461	4.22238845766667	4.187724785	4.073560574	4.1378628	4.027967927	4.2000282535	4.2863195915	4.21302929	4.423545007	3.953454073	4.3133244145	6.618060503	6.70722806333333	7.680090367	7.178006362	8.1759477605	7.8912340185	6.5703516125	6.84459854	6.7567221575	6.13082732	8.0061253705	8.878233363	8.9157613815	6.455709495	7.0685753485	"unknown protein"
"AtMYB60.MYB60"	4.19508845975	4.25598485133333	4.37520001533333	4.3525861255	4.1414034675	4.2501168265	4.189715866	4.1829413775	4.1576931595	4.0338673425	4.24081636633333	4.188396375	4.069919317	4.1347544365	4.057850107	4.082850631	4.148783325	4.1210339545	4.181888525	4.1716115445	4.163826205	6.01063691233333	5.61671730833333	5.813521453	5.6434631835	6.6616801375	6.1728492245	5.5347495215	5.5886147785	4.8184042385	4.939211676	6.49283889	7.521935325	7.183410425	8.325380998	8.1746567015	"putative transcription factor similar to GB:AAC83617 and myb proteins; supported by cDNA: gi_3941481_gb_AF062895.1_AF062895"
"AVDE1.NPQ1"	5.141498842	5.474662787	5.277976687	5.0591151435	5.380235798	5.6817181595	5.3077153055	5.382619766	5.57417602	5.904062408	5.502046938	5.2869658655	5.25750768	5.535610894	5.5122510785	5.241808102	5.6890508865	5.084683743	5.0784252095	5.564180553	5.069936565	9.68325710966667	10.136624257	8.69589814	9.196617925	8.2542926565	8.8813684325	9.1344094775	9.488042415	7.7891360645	8.4773812545	8.6063212485	7.876543182	8.7502275755	9.590974116	9.908495297	"putative violaxanthin de-epoxidase precursor (U44133) similar to EST gb|N37612; supported by cDNA: gi_1465734_gb_U44133.1_ATU44133"
"PSB27"	5.20895695975	6.19602284666667	5.99576832133333	6.8043701135	5.2256444825	5.7452456285	5.676210853	6.221913282	5.775340109	6.645723093	6.21954168133333	7.275771666	5.9113937365	5.8697701865	6.340589233	5.326060606	5.9134317885	5.8175873695	6.7618187885	5.70732633	5.943332031	11.8941845566667	11.9091410066667	12.00924525	12.201564125	11.69849683	11.914027385	12.05336445	12.28050656	11.90821395	11.83306471	12.062812005	10.67114769	11.3360324	11.89276285	12.092854185	"unknown protein similar to ESTs emb|Z27038, gb|AA451546, emb|Z29876, gb|T45359 and gb|R90316;supported by full-length cDNA: Ceres:111449."
"POR.PORC"	4.94286507925	4.917139984	5.86243624833333	5.6412903765	5.080882638	4.770882586	5.675464133	5.2878860845	5.6980516235	5.0727390485	6.46527781933333	5.520159456	5.741703377	4.871195554	6.0243733975	5.2021767	4.8363125625	5.189894392	4.937454998	5.586859357	4.979802801	10.43115088	9.99325517833333	10.45501267	10.372360465	9.873757729	9.6300795395	10.96170919	10.843673635	9.8214267975	9.6197636395	10.511563675	8.300860409	8.3534007365	10.31920484	10.58833568	"putative protochlorophyllide reductase similar to protochlorophyllide reductase precusor; similar to ESTs gb|R30630, gb|T46162, emb|Z26728, gb|AA042736, and gb|AA042730;supported by full-length cDNA: Ceres:7573."
"ADH.ADH1.ATADH.ATADH1"	6.07374304125	14.4162967066667	7.56716612633333	14.43380344	7.158362602	14.37095302	7.885865327	14.43909507	7.567941565	14.390593675	8.475471876	14.473079725	8.554545263	14.19607145	9.248079963	7.86251174	14.248580645	6.785784143	14.654032445	7.4338267075	14.60659464	9.40224723833333	13.4075199966667	9.421745213	13.228384745	9.595823327	13.64417769	9.7035972795	12.92493722	9.5598129265	13.113782115	8.1588007655	8.921635293	13.79307983	9.4118290245	13.3895974	"alcohol dehydrogenase identical to alcohol dehydrogenase GI:469467 from (Arabidopsis thaliana); supported by full-length cDNA: Ceres: 4033."
"LHCA3"	7.18272459225	7.15543792633333	7.83871912033333	7.6515431915	6.9447735605	6.7573713665	7.7231994725	7.4681738305	7.510316223	7.412988255	8.03080895966667	7.711805478	6.6759458685	6.843134922	7.7115447805	7.561715092	6.734329495	8.9726653545	8.466960734	7.221189296	6.829891472	13.57595883	13.3249765	13.354354695	13.332394055	12.878212705	13.14459039	13.375024055	13.1385626	13.247715355	13.246702155	13.393351495	12.29965409	12.431327685	13.32092092	13.411940835	"PSI type III chlorophyll a/b-binding protein, putative similar to PSI type III chlorophyll a/b-binding protein GI:430947 from [Arabidopsis thaliana];supported by full-length cDNA: Ceres:25124."
"ZKT"	5.77484044525	6.03896525633333	6.95911170433333	6.982209776	6.097128767	5.7941342345	6.646087077	6.5529693235	6.532446418	6.3385778655	6.98391392633333	6.6867408765	6.3190573985	6.310052696	6.7481077225	6.0919786005	5.644654075	6.665062736	6.3739890995	6.6231008115	6.504366095	10.92634418	11.1917288066667	11.14003348	11.21131571	10.70793789	11.02540599	11.52825703	11.715267435	9.753967309	10.51187182	10.93085647	9.631282647	9.8362194745	10.792041955	11.04449589	"unknown protein similar to putative tyrosine phosphatase GB:AAF81798 GI:8926334 from [Oryza sativa];supported by full-length cDNA: Ceres:8301."
"PER7"	11.2339138425	9.50811142466667	9.152313292	8.1200008805	10.3197687175	7.977822467	10.0197307815	7.980134041	10.32337122	8.1432211095	9.09166222333333	8.042310836	10.347664225	8.014463611	10.033974436	10.66122429	8.250864928	8.0218729515	6.7759666825	8.7324062835	7.703937676	5.25330159833333	5.12788562733333	5.150592823	4.9175854995	4.8788113825	5.136035769	5.3133863975	5.2523437545	5.051223689	4.7954432305	4.8038203705	5.0613301145	5.082704104	4.775236195	5.002333781	"putative peroxidase similar to cationic peroxidase (gi|1232069); similar to EST gb|AI100412;supported by full-length cDNA: Ceres:123968."
"BP80.3.3.VSR3.3.VSR6"	9.76859309425	9.48702861833333	8.96260523833333	8.9245563165	9.769550789	9.330312091	9.376432967	9.6335457845	9.073331132	9.0434461185	8.568256436	8.7501012095	8.463878972	8.5145085755	8.704297978	8.7881443005	9.0522995475	9.8531983405	9.569400637	9.0335533465	9.433590021	5.93062728433333	5.61625548833333	5.576771705	5.569724455	4.9808741575	5.227056124	5.1796103695	5.0165307735	5.2667734335	5.518243597	5.1813647355	4.59378517	4.9296531475	5.379060611	5.444860422	"putative vacuolar sorting receptor similar to (gi|3033390); similar to EST dbj|C72582"
"PSAE.2"	5.51912112	5.526338012	6.001594461	5.902943633	5.3827105715	5.397832505	5.683841932	5.53616532	5.713706056	5.2807085015	6.31246084566667	5.8428898635	5.4527746875	5.4292315085	5.8606113805	5.7338244845	5.6062433715	6.5194844885	6.189526397	5.444918938	5.2760240105	10.8663712566667	10.57580834	11.0573577	11.021664185	10.676962345	10.937698105	11.32402287	11.061789375	10.94902572	10.862340845	11.08108351	9.671765092	9.784098314	10.999793795	10.804290675	"putative photosystem I reaction center subunit IV  ;supported by full-length cDNA: Ceres:27629."
"HBI1"	4.52984209025	4.48035779433333	4.87640595466667	5.0227824965	4.6452146145	4.5450468635	4.797499865	5.151592604	4.5415628815	4.736964905	4.58624575566667	4.7287761815	4.4276856925	4.289822233	4.721112252	4.5309946705	4.3898271605	4.7112258285	4.818225015	5.0225929475	5.501278761	9.295410896	9.62334471333333	9.328605302	9.9196858095	9.496078612	9.9292995695	9.351864812	9.5518115495	10.333790115	10.32222497	10.737642935	10.522686395	10.347547495	9.4997239475	9.1004931885	"hypothetical protein predicted by genscan; supported by cDNA: gi_15724317_gb_AF412099.1_AF412099"
"PSBX"	6.77341667625	6.91724355566667	7.87801431833333	8.040517128	6.476696454	6.342675203	7.4026772225	7.4517174465	7.276512201	7.472749098	8.04575985633333	7.795337049	7.228299677	6.5868350675	7.752385674	7.617540005	6.587630131	8.1469704275	8.4443182285	7.2388784735	7.6919696385	12.7052792433333	12.6287900166667	12.951176405	13.12229828	12.58017543	12.84113244	12.9594697	12.952570535	12.625133325	12.104386275	12.999111445	11.6810782	11.726824615	13.192463575	13.04952388	"hypothetical protein  ;supported by full-length cDNA: Ceres:14272."
"HAC1"	10.5741032525	10.7658384333333	10.4011522	10.63302947	9.4731747115	9.7725396635	9.5201676795	9.9539475075	10.150994075	10.605088095	10.7139395766667	10.69057139	9.6709869245	9.693007076	10.05609363	10.75840177	10.51177366	10.635873655	10.51501541	10.0343640395	10.1975436285	5.80753328966667	5.553495497	5.278449784	5.374157727	4.998076154	5.017455058	4.923906149	4.861572845	4.777010145	4.9247224195	4.857865775	4.574827233	4.770478011	5.778059733	5.511050731	"senescence-associated protein contains similarity to senescence-associated gene Ntdin from GI:7594903 [Nicotiana tabacum]; contains C2-domain profile. (PS50004;PF00168)"
