"brain__DBA.2J"	"colon__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"brain__CD1"	"colon__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"metadata"
"Gramd2"	209	501	22	2	3091	417	535	28	2	3333	435	375	26	0	4319	"GRAM domain containing 2"
"Amy1"	745	10	61	11636	118	584	445	223	8895	133	342	1657	105	5003	51	"amylase 1, salivary"
"Smim31"	1	2109	3	1	66	0	1643	4	0	48	3	1086	10	0	69	"small integral membrane protein 31"
"Ehd2"	140	542	637	55	9000	79	626	936	173	5263	89	798	696	90	13142	"EH-domain containing 2"
"Zfp872"	1	3	1	429	11	1	3	3	49	37	5	8	0	55	36	"zinc finger protein 872"
"Fat3"	2054	11	2	0	378	1873	26	10	0	200	2022	31	16	3	352	"FAT atypical cadherin 3"
"Mgst2"	3	5382	2	2	166	4	7044	12	5	296	0	4624	2	0	114	"microsomal glutathione S-transferase 2"
"Kif5a"	56461	117	208	78	36	62021	102	169	205	14	50415	125	130	110	39	"kinesin family member 5A"
"Thbd"	240	423	556	64	13057	208	595	668	110	12887	258	331	664	73	20388	"thrombomodulin"
"Ism1"	92	10	7	2	1215	84	0	16	4	1312	98	38	26	12	2876	"isthmin 1, angiogenesis inhibitor"
"Hspa12b"	144	66	176	61	1082	122	82	198	99	1463	130	125	300	84	2541	"heat shock protein 12B"
"Slc4a11"	11	20	494	4	18	36	14	650	9	9	31	29	544	15	32	"solute carrier family 4, sodium bicarbonate transporter-like, member 11"
"Ano3"	3145	4	48	0	25	3331	72	93	0	3	3609	2	24	0	8	"anoctamin 3"
"Gm10804"	1	1	2692	126	1	0	5	2465	56	3	0	0	874	3	3	"predicted gene 10804"
"Lrrc55"	805	76	21	1	49	557	40	18	3	31	660	42	14	0	53	"leucine rich repeat containing 55"
"Scn2a"	10931	14	8	4	46	9349	9	5	0	33	9827	13	6	12	39	"sodium channel, voltage-gated, type II, alpha"
"Rprm"	563	2	5	2	62	856	2	8	0	144	915	31	22	0	86	"reprimo, TP53 dependent G2 arrest mediator candidate"
"Malrd1"	1	2835	67	0	0	1	2207	148	0	0	0	1171	120	0	0	"MAM and LDL receptor class A domain containing 1"
"Igkv5-48"	0	1281	68	1	31	0	1999	2	2	22	0	2438	4	0	26	"immunoglobulin kappa variable 5-48"
"Igkv6-32"	0	2462	136	4	57	0	1571	3	2	24	0	1140	12	0	34	"immunoglobulin kappa variable 6-32"
"Igkc"	1	136267	6537	282	4517	9	295483	477	196	3562	8	170650	1152	125	2865	"immunoglobulin kappa constant"
"Ighg2b"	0	710	46	22	176	0	2711	10	14	64	0	1763	2	3	54	"immunoglobulin heavy constant gamma 2B"
"Iglc2"	0	651	33	16	121	0	1732	10	9	467	2	1161	4	3	108	"immunoglobulin lambda constant 2"
"Smim24"	21	33930	1743	33	95	31	71695	2175	34	71	49	45401	3833	12	86	"small integral membrane protein 24"
"Cyp4a12b"	2	0	100	2371	77	0	0	236	3700	20	0	0	312	3304	11	"cytochrome P450, family 4, subfamily a, polypeptide 12B"
"Dact3"	1608	112	40	5	178	1556	159	40	14	170	2103	310	35	15	416	"dishevelled-binding antagonist of beta-catenin 3"
"Prkcg"	7143	25	15	8	166	9132	18	15	21	113	10087	48	18	20	270	"protein kinase C, gamma"
"Nlrp12"	1	7	1	2113	37	1	6	0	1172	31	0	4	0	46	47	"NLR family, pyrin domain containing 12"
"Slc8a3"	967	103	9	11	45	648	62	11	11	10	527	113	6	20	54	"solute carrier family 8 (sodium/calcium exchanger), member 3"
"Kcnip3"	1565	34	52	17	39	2498	76	102	16	52	2932	148	65	12	109	"Kv channel interacting protein 3, calsenilin"
"C7"	21	100	118	13	6031	23	114	269	41	2441	35	160	191	41	9559	"complement component 7"
"Tlr5"	17	15	10	577	314	11	15	14	654	144	8	19	2	1082	192	"toll-like receptor 5"
"Clec7a"	3	96	32	87	1595	6	301	54	112	1137	8	225	45	99	1003	"C-type lectin domain family 7, member a"
"Ifit1bl1"	56	1293	34	0	82	69	1791	50	7	138	60	1554	30	0	59	"interferon induced protein with tetratricpeptide repeats 1B like 1"
"B3gnt7"	19	1413	64	2	199	18	857	126	3	148	17	1263	61	0	211	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
"H2-Q1"	21	3028	9	148	55	6	2894	0	96	6	11	1571	2	70	40	"histocompatibility 2, Q region locus 1"
"Pglyrp2"	0	130	3	4416	54	0	123	9	5317	45	0	352	8	6021	56	"peptidoglycan recognition protein 2"
"Rab26"	482	7	5	2	11	699	100	3	3	13	811	135	6	3	10	"RAB26, member RAS oncogene family"
"Abhd11os"	26	1894	142	28	70	28	2981	160	31	27	21	2544	201	32	72	"abhydrolase domain containing 11, opposite strand"
"Tmem238l"	1	1753	18	0	0	0	1125	67	0	0	0	769	47	0	0	"transmembrane protein 238 like"
"Slc13a2os"	0	552	41	8	3	0	580	108	32	4	0	202	150	49	2	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2, opposite strand"
"Gm2788"	1	31	1	1382	1	2	37	2	754	8	0	17	4	757	3	"predicted gene 2788"
"9030622O22Rik"	4	20	0	1429	252	0	68	0	1050	125	0	23	0	870	137	"RIKEN cDNA 9030622O22 gene"
"Srrm4os"	134	0	0	33	0	145	0	1	49	0	113	0	0	35	0	"serine/arginine repetitive matrix 4, opposite strand"
"9130024F11Rik"	255	1	66	4	0	232	0	38	2	0	312	2	16	0	3	"RIKEN cDNA 9130024F11 gene"
"Emx2os"	44	0	132	0	0	71	0	166	0	0	23	0	91	0	0	"Emx2 opposite strand/antisense transcript (non-protein coding)"
"A830082K12Rik"	384	7	7	8	29	431	5	12	12	31	364	8	12	26	44	"RIKEN cDNA A830082K12 gene"
"Agxt2"	0	46	1802	6913	0	0	46	2781	8338	0	0	15	2143	6743	0	"alanine-glyoxylate aminotransferase 2"
"Nwd2"	1200	1	44	8	57	1724	2	11	10	33	1247	0	30	9	22	"NACHT and WD repeat domain containing 2"
"Ugt1a6b"	0	36	62	467	57	0	11	23	956	23	0	17	51	476	26	"UDP glucuronosyltransferase 1 family, polypeptide A6B"
"Pcp4"	1348	56	2	0	9	1032	83	5	0	1	564	56	6	0	7	"Purkinje cell protein 4"
"4933411K16Rik"	3	1	119	166	14	3	0	63	362	9	3	2	144	499	17	"RIKEN cDNA 4933411K16 gene"
"Cerox1"	487	25	3	4	13	510	35	6	5	29	451	54	0	0	28	"cytoplasmic endogenous regulator of oxidative phosphorylation 1"
"H2-Q2"	21	4914	75	260	92	10	11595	24	7	92	9	477	65	220	541	"histocompatibility 2, Q region locus 2"
"Sec14l5"	687	1	2	2	166	791	2	5	3	98	419	2	4	0	85	"SEC14-like lipid binding 5"
"Gimd1"	0	878	0	157	0	0	1856	2	64	0	0	765	0	96	1	"GIMAP family P-loop NTPase domain containing 1"
"Peg10"	995	10	11	2	40	637	3	17	19	32	330	6	22	0	46	"paternally expressed 10"
"Igkv1-110"	0	1012	46	1	23	0	2296	6	0	31	0	956	2	0	8	"immunoglobulin kappa variable 1-110"
"Igkv10-96"	0	1630	46	2	36	0	5431	10	2	56	0	1707	12	0	43	"immunoglobulin kappa variable 10-96"
"Tmem121b"	889	5	1	2	72	1353	2	1	0	55	1423	4	2	0	95	"transmembrane protein 121B"
"Igkv6-15"	0	1393	52	5	34	0	1740	2	3	64	0	513	10	0	22	"immunoglobulin kappa variable 6-15"
"D430019H16Rik"	2554	54	84	36	347	3384	72	75	54	286	3719	75	41	49	425	"RIKEN cDNA D430019H16 gene"
"Igha"	3	144833	8536	163	3098	0	451402	664	172	1228	0	331158	1274	241	2574	"immunoglobulin heavy constant alpha"
"Itpripl2"	127	756	434	182	3051	96	858	508	234	3582	43	515	254	267	5838	"inositol 1,4,5-triphosphate receptor interacting protein-like 2"
"Igkv14-111"	0	814	53	1	31	0	803	2	1	48	0	1084	0	3	17	"immunoglobulin kappa variable 14-111"
"Vkorc1"	89	195	400	4544	362	49	231	281	1881	129	64	240	560	1848	269	"vitamin K epoxide reductase complex, subunit 1"
"Smim22"	1	764	231	33	116	2	1564	256	47	62	2	586	286	29	104	"small integral membrane protein 22"
"Igkv1-135"	0	578	36	4	22	0	820	1	4	42	0	500	0	0	9	"immunoglobulin kappa variable 1-135"
"Tmem151b"	1950	16	43	1	5	1682	8	33	0	4	2682	35	41	0	3	"transmembrane protein 151B"
"Fendrr"	14	568	0	95	2955	23	863	2	158	3555	26	683	0	110	5425	"Foxf1 adjacent non-coding developmental regulatory RNA"
"Miat"	8477	24	15	0	10	15371	28	21	0	17	18665	33	43	0	8	"myocardial infarction associated transcript (non-protein coding)"
"Ctxnd1"	1160	51	95	25	85	743	17	62	41	76	1407	27	28	23	26	"cortexin domain containing 1"
"Igkv19-93"	0	1401	61	2	31	0	427	1	0	38	0	1321	10	0	38	"immunoglobulin kappa chain variable 19-93"
"0610031O16Rik"	0	8	457	2022	2	0	0	214	1535	4	0	13	177	1462	2	"RIKEN cDNA 0610031O16 gene"
"1810008I18Rik"	0	10	1	3479	57	0	45	1	2576	40	0	15	0	528	6	"RIKEN cDNA 1810008I18 gene"
"Ms4a4a"	2	64	0	1	53	2	153	2	1	27	0	110	6	3	31	"membrane-spanning 4-domains, subfamily A, member 4A"
"Snrpn"	10333	702	324	311	119	6067	640	303	215	149	5710	586	455	377	181	"small nuclear ribonucleoprotein N"
"Pcdhgc5"	1496	9	15	2	69	1981	12	24	5	124	2171	8	14	9	146	"protocadherin gamma subfamily C, 5"
"Iglc3"	0	193	11	12	85	0	566	6	16	266	0	360	10	0	56	"immunoglobulin lambda constant 3"
"Iglc1"	0	433	19	5	71	0	2747	8	12	282	0	1829	12	0	73	"immunoglobulin lambda constant 1"
"4933427D14Rik"	223	14	30	10	23	444	9	41	20	18	399	15	18	49	34	"RIKEN cDNA 4933427D14 gene"
"9330102E08Rik"	663	5	12	41	10	798	5	25	43	20	921	8	34	99	43	"RIKEN cDNA 9330102E08 gene"
"Gm39079"	0	0	4772	675	19	0	3	5830	365	14	0	0	1276	441	5	"predicted gene, 39079"
"A230057D06Rik"	919	7	3	0	172	804	12	3	1	170	648	6	0	6	56	"RIKEN cDNA A230057D06 gene"
"BC024386"	0	0	3779	14261	0	1	0	4514	21829	0	0	2	4178	15839	0	"cDNA sequence BC023486"
"Klkb1"	1	67	26	14590	19	5	29	55	8409	27	2	15	30	8634	12	"kallikrein B, plasma 1"
"Gm19935"	58	1	5	1	360	90	8	1	1	538	37	0	0	0	118	"predicted gene, 19935"
"Gm33543"	3	0	62	325	0	3	3	49	457	0	3	0	53	560	3	"predicted gene, 33543"
"Btbd8"	2497	82	279	101	166	2417	35	106	87	82	3125	65	73	49	74	"BTB (POZ) domain containing 8"
"A830082N09Rik"	969	20	46	32	27	597	6	36	19	64	652	13	18	12	34	"RIKEN cDNA A830082N09 gene"
"Gm5802"	102	13	7	10	7	118	18	6	4	0	730	73	41	35	7	"predicted gene 5802"
"AI463229"	0	15	8	746	13	0	43	9	460	34	0	21	10	499	14	"expressed sequence AI463229"
"Gm9926"	1	2623	177	1	2	2	2389	304	0	0	3	1829	296	0	2	"predicted gene 9926"
"Bcl11a"	1712	305	7	5	72	1536	203	6	5	139	2387	288	14	9	93	"B cell CLL/lymphoma 11A (zinc finger protein)"
"Folh1"	246	0	1023	1	14	145	0	1915	1	9	234	2	3090	26	10	"folate hydrolase 1"
"Zim1"	315	3	80	4	14	216	3	42	4	5	99	0	12	0	3	"zinc finger, imprinted 1"
"Rec8"	6	232	17	28	16	134	2659	326	142	150	0	510	28	26	40	"REC8 meiotic recombination protein"
"Pla1a"	15	20	337	1058	52	20	52	410	2401	23	12	38	440	1375	65	"phospholipase A1 member A"
"Sec14l2"	813	4660	83	21784	386	798	5994	47	29604	284	906	2769	144	17762	464	"SEC14-like lipid binding 2"
"Col5a3"	29	82	57	471	52	121	142	114	2204	73	87	129	116	2590	173	"collagen, type V, alpha 3"
"Sst"	1832	456	0	0	0	1911	1005	0	0	0	2636	877	0	0	0	"somatostatin"
"Ccl24"	3	98	1	61	14	1	838	2	85	13	2	56	0	26	3	"chemokine (C-C motif) ligand 24"
"Corin"	12	1	227	742	46	3	5	204	8	56	9	10	199	647	57	"corin, serine peptidase"
"Pvalb"	1288	3	893	1	0	822	2	321	0	0	848	0	134	9	0	"parvalbumin"
"Dnase1"	129	4546	14728	36	57	125	7312	14295	42	29	128	3253	17559	70	29	"deoxyribonuclease I"
"Susd2"	393	2826	7899	41	436	230	2247	5679	73	171	177	767	11458	38	337	"sushi domain containing 2"
"Fbln1"	96	3372	115	16	656	96	5926	234	45	478	138	1217	193	20	3392	"fibulin 1"
"Tcap"	16	14	3	0	242	51	18	4	2	310	66	29	2	0	597	"titin-cap"
"Cd163"	40	30	10	277	147	35	52	27	765	120	40	108	24	1070	179	"CD163 antigen"
"Derl3"	30	246	32	198	56	33	962	23	194	29	35	977	26	145	63	"Der1-like domain family, member 3"
"Sardh"	255	251	6658	21154	364	204	589	5513	47125	222	205	435	11592	27191	497	"sarcosine dehydrogenase"
"Tex15"	36	4	7	0	267	52	5	6	0	210	18	0	6	0	124	"testis expressed gene 15"
"Prox1"	1365	81	273	2947	85	939	31	217	5122	64	992	98	148	6984	60	"prospero homeobox 1"
"Apol7a"	3	895	0	2849	14	9	3046	0	5584	10	24	769	6	2561	8	"apolipoprotein L 7a"
"Igf2bp1"	1	0	182	2	84	1	2	197	1	64	3	2	85	0	38	"insulin-like growth factor 2 mRNA binding protein 1"
"C4a"	35	64	863	10294	64	46	22	36	1728	18	24	50	615	22298	69	"complement component 4A (Rodgers blood group)"
"Prrt1"	2182	120	54	5	58	2281	259	35	15	29	2611	298	34	20	104	"proline-rich transmembrane protein 1"
"Fam163a"	284	10	112	0	0	279	15	398	2	3	84	13	47	0	0	"family with sequence similarity 163, member A"
"Ttbk1"	2766	4	869	84	9	3367	12	504	60	9	3484	23	1706	119	9	"tau tubulin kinase 1"
"Fcrls"	145	12	2	0	88	479	26	8	1	113	105	46	4	3	96	"Fc receptor-like S, scavenger receptor"
"Camk1g"	696	17	45	0	8	720	8	54	0	15	785	33	95	3	33	"calcium/calmodulin-dependent protein kinase I gamma"
"Hnf4g"	1	6878	189	11	1	0	1709	156	9	0	0	788	142	0	1	"hepatocyte nuclear factor 4, gamma"
"Dbndd2"	1943	48	67	12	165	1249	55	61	23	186	704	58	106	44	287	"dysbindin (dystrobrevin binding protein 1) domain containing 2"
"Dnah11"	21	7	45	44	457	57	3	50	2	300	21	6	41	20	214	"dynein, axonemal, heavy chain 11"
"Myh11"	180	11404	509	49	3066	100	12883	1627	243	1452	122	21010	1617	232	5872	"myosin, heavy polypeptide 11, smooth muscle"
"Alox15"	1	72	2	1	117	1	91	2	2	87	2	54	7010	15	135	"arachidonate 15-lipoxygenase"
"Scn1b"	5306	82	191	251	278	5244	99	139	93	126	5691	208	319	139	221	"sodium channel, voltage-gated, type I, beta"
"Nts"	130	197	1	0	1	74	190	3	0	6	70	21	0	0	0	"neurotensin"
"Ros1"	1	725	17	1	116	2	216	35	0	105	0	169	22	0	36	"Ros1 proto-oncogene"
"Enpp3"	23	25359	2205	3242	74	11	14426	1872	3365	28	12	6968	1755	2161	40	"ectonucleotide pyrophosphatase/phosphodiesterase 3"
"Rfx4"	361	2	0	164	1	276	0	0	177	0	321	0	6	9	3	"regulatory factor X, 4 (influences HLA class II expression)"
"Phlda1"	193	170	87	3673	341	130	154	70	808	403	144	154	20	644	369	"pleckstrin homology like domain, family A, member 1"
"Fstl3"	5	9	53	0	101	13	6	7	3	69	12	23	65	6	285	"follistatin-like 3"
"Hcn2"	3749	74	58	28	24	1810	65	38	18	14	1815	88	91	35	56	"hyperpolarization-activated, cyclic nucleotide-gated K+ 2"
"Myl7"	0	68	1	4	358	1	191	8	7	1242	0	92	0	3	1306	"myosin, light polypeptide 7, regulatory"
"Mrc2"	98	120	698	33	2011	135	166	751	58	1171	99	240	840	23	3935	"mannose receptor, C type 2"
"Cacnb1"	1736	54	95	15	194	2557	63	99	21	166	2688	125	67	17	312	"calcium channel, voltage-dependent, beta 1 subunit"
"Nova1"	3213	15	32	1	298	1339	29	28	0	99	1650	50	30	6	238	"NOVA alternative splicing regulator 1"
"Akap5"	1770	20	52	70	9679	2747	15	49	62	5142	2434	33	34	90	7006	"A kinase (PRKA) anchor protein 5"
"Bdkrb2"	28	436	9	0	141	11	450	16	2	113	29	440	32	0	1200	"bradykinin receptor, beta 2"
"Cyp46a1"	2513	4	29	2283	11	4089	20	57	86	28	3782	25	41	383	32	"cytochrome P450, family 46, subfamily a, polypeptide 1"
"Gadd45g"	143	143	1577	3278	164	128	174	109	58	101	168	225	793	84	251	"growth arrest and DNA-damage-inducible 45 gamma"
"Pcsk1"	1247	268	0	0	17	1303	265	2	0	45	1472	206	0	0	19	"proprotein convertase subtilisin/kexin type 1"
"Slc4a7"	928	20020	212	554	362	725	5031	231	260	372	772	6964	225	484	225	"solute carrier family 4, sodium bicarbonate cotransporter, member 7"
"Scara5"	13	55	32	737	341	30	66	74	476	259	9	73	59	1668	221	"scavenger receptor class A, member 5"
"Fitm1"	4	0	347	1801	10	1	3	305	864	10	0	4	266	261	19	"fat storage-inducing transmembrane protein 1"
"Ppara"	60	943	1275	4295	88	45	282	790	7000	56	67	598	844	5766	68	"peroxisome proliferator activated receptor alpha"
"Cacna1i"	1647	36	2	4	48	1766	48	3	10	127	2084	81	2	9	67	"calcium channel, voltage-dependent, alpha 1I subunit"
"Cyp2d26"	3	9151	719	21443	1	3	11925	3045	42664	5	2	6789	1889	23534	1	"cytochrome P450, family 2, subfamily d, polypeptide 26"
"Ly6c2"	1	118	13	11	184	1	119	13	9	377	0	33	4	6	76	"lymphocyte antigen 6 complex, locus C2"
"Adipoq"	1	1	22	1	229	0	45	397	1	55	0	8	217	3	33	"adiponectin, C1Q and collagen domain containing"
"Cela1"	36	586	1063	1933	29	48	383955	1660	1821	24	35	359462	1749	1778	17	"chymotrypsin-like elastase family, member 1"
"Cxcl13"	3	221	2	21	108	1	253	12	29	27	0	852	8	35	30	"chemokine (C-X-C motif) ligand 13"
"Sult1c2"	0	210	2567	295	8	4	69	1796	187	3	0	231	4141	296	2	"sulfotransferase family, cytosolic, 1C, member 2"
"Celsr3"	1774	600	5	6	31	4399	334	8	5	22	4250	244	4	3	22	"cadherin, EGF LAG seven-pass G-type receptor 3"
"Prph"	70	85	3	5	5	34	151	2	7	3	76	288	10	3	27	"peripherin"
"Pde10a"	1743	40	57	25	25	3397	35	46	26	23	1792	27	41	46	25	"phosphodiesterase 10A"
"Satb1"	2859	158	57	29	584	2123	165	74	30	574	3822	294	30	20	487	"special AT-rich sequence binding protein 1"
"Cacna1h"	1053	305	9	0	5	1583	521	26	3	18	2135	427	45	3	24	"calcium channel, voltage-dependent, T type, alpha 1H subunit"
"Tedc2"	149	163	76	1345	117	173	190	82	3404	171	179	154	61	1772	133	"tubulin epsilon and delta complex 2"
"Pdia2"	5	46	3	2	34	13	9815	19	1	40	11	14911	20	0	25	"protein disulfide isomerase associated 2"
"Grm8"	567	4	0	1041	2	372	2	0	51	9	458	13	0	15	2	"glutamate receptor, metabotropic 8"
"Ltb"	2	197	17	19	271	1	86	13	25	171	12	861	18	20	300	"lymphotoxin B"
"Spink1"	0	5117	5123	4	1	0	17606	6106	3	1	0	5774	4947	0	0	"serine peptidase inhibitor, Kazal type 1"
"Cidea"	92	7	2	0	54	62	18	682	4	33	79	21	489	0	21	"cell death-inducing DNA fragmentation factor, alpha subunit-like effector A"
"Ms4a7"	2	172	3	4	55	4	524	38	12	59	0	296	12	6	33	"membrane-spanning 4-domains, subfamily A, member 7"
"Ms4a4c"	0	26	7	7	100	1	43	14	5	229	0	60	6	15	60	"membrane-spanning 4-domains, subfamily A, member 4C"
"Keg1"	0	0	62350	25809	0	0	0	49418	10319	0	0	0	69950	19012	0	"kidney expressed gene 1"
"Kcnk4"	212	28	25	7	10	336	22	43	12	17	384	17	34	17	6	"potassium channel, subfamily K, member 4"
"Cyp2c55"	0	715	0	135	1	0	4474	1	343	3	2	706	0	444	0	"cytochrome P450, family 2, subfamily c, polypeptide 55"
"Pik3ap1"	64	450	68	5374	1410	77	422	67	3359	1077	63	502	59	7408	1213	"phosphoinositide-3-kinase adaptor protein 1"
"Itgb8"	2253	25	5038	8	25	1579	11	2303	8	20	1041	21	1092	12	23	"integrin beta 8"
"Cd63"	240	915	3682	49	536	378	2169	8058	66	1053	179	867	1599	20	535	"CD63 antigen"
"Cox8b"	5	1	2	1	70	9	5	229	2	46	11	13	91	0	64	"cytochrome c oxidase subunit 8B"
"Asl"	307	587	5896	15382	342	356	977	5608	30125	373	332	761	7629	20227	334	"argininosuccinate lyase"
"Tmem47"	3135	120	83	141	681	1729	89	108	56	440	1760	85	53	26	477	"transmembrane protein 47"
"St8sia2"	118	8	7	1	381	63	23	11	4	138	63	8	2	6	445	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"
"Dhtkd1"	349	20	1976	2799	65	318	12	1379	3837	40	298	60	2291	8191	141	"dehydrogenase E1 and transketolase domain containing 1"
"Snca"	2865	5	88	39	434	3691	12	57	34	588	5140	15	81	38	202	"synuclein, alpha"
"Slc40a1"	268	24237	1769	13376	273	149	940	1434	4354	311	145	5643	1743	6970	302	"solute carrier family 40 (iron-regulated transporter), member 1"
"Fn1"	1184	3702	1529	33952	6072	425	3012	1275	87481	3669	1047	2823	1106	79590	21787	"fibronectin 1"
"Speg"	1717	204	173	10	180	3572	242	270	55	147	3406	448	250	12	418	"SPEG complex locus"
"Des"	21	3386	287	92	1709	18	4635	285	149	1684	17	8647	347	102	2705	"desmin"
"Ecel1"	159	345	0	0	1	374	12	0	0	0	99	71	2	0	0	"endothelin converting enzyme-like 1"
"Lypd1"	1014	37	2	6	13	2119	11	3	7	9	1060	35	10	0	2	"Ly6/Plaur domain containing 1"
"Tnnt2"	65	156	6	1	466	187	262	10	23	1392	2	217	20	26	1155	"troponin T2, cardiac"
"Ppfia4"	1933	52	4	0	82	1990	344	67	28	196	2413	283	53	44	185	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4"
"Rgs16"	273	5	6	662	16	456	5	10	1600	15	119	42	0	5343	12	"regulator of G-protein signaling 16"
"Slc30a10"	573	10089	0	1770	0	654	2552	0	1380	0	425	4642	0	1221	0	"solute carrier family 30, member 10"
"Tnn"	11	1	116	1	172	10	8	684	2	147	9	10	286	0	1989	"tenascin N"
"Pierce1"	33	1	8	1	249	36	0	11	1	173	34	0	0	3	151	"piercer of microtubule wall 1"
"Cybrd1"	86	2138	17	10	451	62	148	27	5	306	81	900	18	6	549	"cytochrome b reductase 1"
"Pax6"	240	35	1	12	3	247	28	7	3	3	174	38	10	12	5	"paired box 6"
"Ltk"	262	63	24	13	86	705	49	16	5	65	529	79	14	84	68	"leukocyte tyrosine kinase"
"Adra1d"	197	1	11	1	10	228	0	3	1	15	353	0	16	116	73	"adrenergic receptor, alpha 1d"
"Hdc"	41	158	320	374	1713	51	51	265	524	2198	23	19	12919	17	713	"histidine decarboxylase"
"Fbln7"	46	95	335	4	22	37	133	289	16	6	15	25	1325	12	6	"fibulin 7"
"Ahcy"	52	236	529	4508	19	139	1379	2329	19936	107	61	638	1503	6442	59	"S-adenosylhomocysteine hydrolase"
"Schip1"	268	7	28	6	76	427	3	19	8	56	516	4	41	3	103	"schwannomin interacting protein 1"
"Slc6a17"	10917	79	497	0	13	11310	48	594	0	18	13505	131	777	12	55	"solute carrier family 6 (neurotransmitter transporter), member 17"
"Egf"	38	26	20291	29	31	53	99	18033	32	15	49	150	39870	58	28	"epidermal growth factor"
"Pitx2"	20	492	115	0	0	1	251	85	0	0	0	377	114	0	5	"paired-like homeodomain transcription factor 2"
"Efna3"	508	51	24	134	31	590	76	14	109	20	923	46	28	41	34	"ephrin A3"
"Mttp"	443	61437	617	15332	140	349	49422	645	12876	82	348	28482	686	13049	81	"microsomal triglyceride transfer protein"
"Fmn2"	1681	2	3	644	11	1378	9	2	47	17	1461	10	6	383	16	"formin 2"
"Sgip1"	3666	26	29	7	391	3177	26	42	6	467	2689	21	41	12	305	"SH3-domain GRB2-like (endophilin) interacting protein 1"
"Cyp4a14"	0	0	246	283	0	0	0	1139	977	0	0	0	34	403	0	"cytochrome P450, family 4, subfamily a, polypeptide 14"
"Stmn1"	1041	137	144	11	52	2424	407	174	40	470	593	98	47	12	199	"stathmin 1"
"Plch2"	1093	555	17	5	207	2005	264	28	6	87	2546	519	61	9	220	"phospholipase C, eta 2"
"Stk32b"	201	1	299	0	2	71	2	289	2	0	90	0	455	3	1	"serine/threonine kinase 32B"
"Spp1"	725	23	6485	2096	1048	161	151	10139	1177	1161	144	208	10811	464	959	"secreted phosphoprotein 1"
"Pla2g1b"	0	65	0	0	191	0	8403	1	0	61	0	13042	0	0	96	"phospholipase A2, group IB, pancreas"
"Cyp3a25"	0	5410	0	29888	0	0	8979	1	17024	0	0	2844	0	16892	0	"cytochrome P450, family 3, subfamily a, polypeptide 25"
"Wasf3"	3587	64	367	0	408	2534	34	401	3	182	3313	96	406	12	794	"WASP family, member 3"
"Gpnmb"	35	33	7	0	574	30	137	12	2	209	17	60	2	0	283	"glycoprotein (transmembrane) nmb"
"Trpv6"	209	887	19	1	145	158	26	13	1	145	229	213	51	0	87	"transient receptor potential cation channel, subfamily V, member 6"
"Nat8"	20	1279	4938	409	18	15	1373	3442	720	0	18	1454	9534	157	9	"N-acetyltransferase 8 (GCN5-related)"
"Grip2"	662	21	52	7	21	675	17	152	9	33	587	25	116	3	36	"glutamate receptor interacting protein 2"
"Ret"	1180	156	30	0	171	165	142	14	0	91	125	242	20	3	173	"ret proto-oncogene"
"A2m"	166	1	167	10	3	175	2	25	15	13	46	0	79	9	1053	"alpha-2-macroglobulin"
"Klrk1"	0	27	13	32	105	0	28	8	39	268	0	48	0	32	79	"killer cell lectin-like receptor subfamily K, member 1"
"Pik3c2g"	7	28	908	549	65	12	8	222	152	23	6	42	39	719	104	"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma"
"Srgap3"	8239	139	384	29	149	8429	123	642	153	143	9022	221	319	128	137	"SLIT-ROBO Rho GTPase activating protein 3"
"Bcat1"	3481	31	6021	0	9	1853	18	3884	0	11	2257	33	984	6	5	"branched chain aminotransferase 1, cytosolic"
"Prmt8"	1237	2	0	0	24	1800	3	0	0	235	1614	2	0	0	97	"protein arginine N-methyltransferase 8"
"Clec2i"	0	64	8	19	105	0	66	11	11	279	0	44	0	6	63	"C-type lectin domain family 2, member i"
"Rtn2"	1085	43	21	11	230	972	59	28	7	138	1059	85	10	6	315	"reticulon 2 (Z-band associated protein)"
"Pglyrp1"	50	1261	6	12	419	40	1128	4	4	156	38	1792	10	15	230	"peptidoglycan recognition protein 1"
"Cyp2b10"	1	7239	134	151	4840	0	20240	33	228	5228	0	5305	32	20	6762	"cytochrome P450, family 2, subfamily b, polypeptide 10"
"Ryr1"	325	40	3	0	37	762	89	5	3	40	770	175	10	6	32	"ryanodine receptor 1, skeletal muscle"
"Art2b"	2	102	1	5	13	0	260	6	43	38	0	42	0	3	4	"ADP-ribosyltransferase 2b"
"Qprt"	5	8	1015	4414	5	7	17	1397	6830	14	9	40	2289	6407	10	"quinolinate phosphoribosyltransferase"
"Cd19"	1	365	16	29	393	1	774	29	56	1678	2	1550	10	38	545	"CD19 antigen"
"Gm9755"	9	17	8	5	41	0	8	4	2	0	53	150	361	191	3	"Tu translation elongation factor pseudogene"
